ts,res,bus,oth
2021-02-01 00:00:00,0.1322,0.1545,1.0
2021-02-01 01:00:00,0.111,0.1435,1.0
2021-02-01 02:00:00,0.1023,0.1414,1.0
2021-02-01 03:00:00,0.0985,0.1351,1.0
2021-02-01 04:00:00,0.133,0.1941,1.0
2021-02-01 05:00:00,0.2115,0.315,1.0
2021-02-01 06:00:00,0.2997,0.4952,0.9733
2021-02-01 07:00:00,0.3485,0.6387,0.5728
2021-02-01 08:00:00,0.286,0.7454,0.4444
2021-02-01 09:00:00,0.2042,0.8172,0.4444
2021-02-01 10:00:00,0.1522,0.8558,0.4444
2021-02-01 11:00:00,0.1321,0.8733,0.4444
2021-02-01 12:00:00,0.1175,0.8871,0.4444
2021-02-01 13:00:00,0.081,0.8962,0.4444
2021-02-01 14:00:00,0.0805,0.8973,0.4444
2021-02-01 15:00:00,0.0665,0.8832,0.4444
2021-02-01 16:00:00,0.1243,0.8408,0.4444
2021-02-01 17:00:00,0.191,0.7768,0.5139
2021-02-01 18:00:00,0.3105,0.7634,0.9306
2021-02-01 19:00:00,0.3651,0.7311,1.0
2021-02-01 20:00:00,0.3581,0.6894,1.0
2021-02-01 21:00:00,0.3307,0.6277,1.0
2021-02-01 22:00:00,0.2909,0.5347,1.0
2021-02-01 23:00:00,0.2328,0.4596,1.0
2021-02-02 00:00:00,0.1795,0.3829,1.0
2021-02-02 01:00:00,0.1521,0.3518,1.0
2021-02-02 02:00:00,0.1467,0.3269,1.0
2021-02-02 03:00:00,0.1493,0.3056,1.0
2021-02-02 04:00:00,0.192,0.3354,1.0
2021-02-02 05:00:00,0.2846,0.4442,1.0
2021-02-02 06:00:00,0.3813,0.5933,0.9733
2021-02-02 07:00:00,0.384,0.7088,0.5728
2021-02-02 08:00:00,0.3078,0.795,0.4444
2021-02-02 09:00:00,0.1992,0.8508,0.4444
2021-02-02 10:00:00,0.1349,0.8882,0.4444
2021-02-02 11:00:00,0.1281,0.895,0.4444
2021-02-02 12:00:00,0.0839,0.9034,0.4444
2021-02-02 13:00:00,0.0647,0.9223,0.4444
2021-02-02 14:00:00,0.0621,0.9252,0.4444
2021-02-02 15:00:00,0.0687,0.9043,0.4444
2021-02-02 16:00:00,0.1337,0.8547,0.4444
2021-02-02 17:00:00,0.2142,0.7894,0.5092
2021-02-02 18:00:00,0.3142,0.783,0.9258
2021-02-02 19:00:00,0.3513,0.7394,1.0
2021-02-02 20:00:00,0.353,0.6939,1.0
2021-02-02 21:00:00,0.3244,0.6246,1.0
2021-02-02 22:00:00,0.2854,0.5373,1.0
2021-02-02 23:00:00,0.2263,0.446,1.0
2021-02-03 00:00:00,0.1578,0.3896,1.0
2021-02-03 01:00:00,0.1245,0.3582,1.0
2021-02-03 02:00:00,0.1098,0.3337,1.0
2021-02-03 03:00:00,0.1102,0.3116,1.0
2021-02-03 04:00:00,0.1464,0.3418,1.0
2021-02-03 05:00:00,0.2343,0.4492,1.0
2021-02-03 06:00:00,0.3176,0.5976,0.9711
2021-02-03 07:00:00,0.31,0.7118,0.5661
2021-02-03 08:00:00,0.2428,0.7995,0.4444
2021-02-03 09:00:00,0.1443,0.8566,0.4444
2021-02-03 10:00:00,0.095,0.8952,0.4444
2021-02-03 11:00:00,0.0869,0.9029,0.4444
2021-02-03 12:00:00,0.055,0.9135,0.4444
2021-02-03 13:00:00,0.0431,0.9343,0.4444
2021-02-03 14:00:00,0.0447,0.9403,0.4444
2021-02-03 15:00:00,0.0589,0.9188,0.4444
2021-02-03 16:00:00,0.1206,0.8693,0.4444
2021-02-03 17:00:00,0.1992,0.8035,0.5047
2021-02-03 18:00:00,0.2921,0.792,0.9214
2021-02-03 19:00:00,0.3443,0.7469,1.0
2021-02-03 20:00:00,0.3387,0.6997,1.0
2021-02-03 21:00:00,0.2881,0.6297,1.0
2021-02-03 22:00:00,0.2605,0.541,1.0
2021-02-03 23:00:00,0.2002,0.4473,1.0
2021-02-04 00:00:00,0.0728,0.3844,1.0
2021-02-04 01:00:00,0.0444,0.356,1.0
2021-02-04 02:00:00,0.0272,0.3332,1.0
2021-02-04 03:00:00,0.0247,0.3137,1.0
2021-02-04 04:00:00,0.0387,0.3433,1.0
2021-02-04 05:00:00,0.0912,0.449,1.0
2021-02-04 06:00:00,0.1682,0.6012,0.9688
2021-02-04 07:00:00,0.1741,0.7235,0.559
2021-02-04 08:00:00,0.1166,0.8159,0.4444
2021-02-04 09:00:00,0.0551,0.888,0.4444
2021-02-04 10:00:00,0.0592,0.9398,0.4444
2021-02-04 11:00:00,0.0798,0.9558,0.4444
2021-02-04 12:00:00,0.0719,0.9737,0.4444
2021-02-04 13:00:00,0.0747,0.9957,0.4444
2021-02-04 14:00:00,0.0779,1.0,0.4444
2021-02-04 15:00:00,0.1077,0.9773,0.4444
2021-02-04 16:00:00,0.1883,0.9234,0.4444
2021-02-04 17:00:00,0.2722,0.8548,0.5
2021-02-04 18:00:00,0.3492,0.8356,0.9167
2021-02-04 19:00:00,0.3653,0.7881,1.0
2021-02-04 20:00:00,0.3522,0.7352,1.0
2021-02-04 21:00:00,0.3075,0.662,1.0
2021-02-04 22:00:00,0.2488,0.5676,1.0
2021-02-04 23:00:00,0.174,0.4689,1.0
2021-02-05 00:00:00,0.1207,0.4138,1.0
2021-02-05 01:00:00,0.0726,0.3855,1.0
2021-02-05 02:00:00,0.0567,0.3567,1.0
2021-02-05 03:00:00,0.0459,0.3297,1.0
2021-02-05 04:00:00,0.051,0.3521,1.0
2021-02-05 05:00:00,0.1269,0.4554,1.0
2021-02-05 06:00:00,0.177,0.6094,0.9688
2021-02-05 07:00:00,0.1909,0.7281,0.559
2021-02-05 08:00:00,0.1728,0.8004,0.4444
2021-02-05 09:00:00,0.1309,0.8557,0.4444
2021-02-05 10:00:00,0.1199,0.9038,0.4444
2021-02-05 11:00:00,0.1482,0.8962,0.4444
2021-02-05 12:00:00,0.1564,0.9003,0.4444
2021-02-05 13:00:00,0.1262,0.898,0.4444
2021-02-05 14:00:00,0.1387,0.8749,0.4444
2021-02-05 15:00:00,0.1532,0.839,0.4444
2021-02-05 16:00:00,0.2322,0.7999,0.4444
2021-02-05 17:00:00,0.3027,0.7637,0.4953
2021-02-05 18:00:00,0.3828,0.7317,0.9119
2021-02-05 19:00:00,0.3971,0.681,1.0
2021-02-05 20:00:00,0.3939,0.6393,1.0
2021-02-05 21:00:00,0.352,0.578,1.0
2021-02-05 22:00:00,0.3335,0.4905,1.0
2021-02-05 23:00:00,0.2776,0.3739,1.0
2021-02-06 00:00:00,0.1704,0.2594,1.0
2021-02-06 01:00:00,0.1471,0.2266,1.0
2021-02-06 02:00:00,0.1235,0.1994,1.0
2021-02-06 03:00:00,0.1113,0.164,1.0
2021-02-06 04:00:00,0.1075,0.1574,1.0
2021-02-06 05:00:00,0.1382,0.1947,1.0
2021-02-06 06:00:00,0.1552,0.2636,0.9664
2021-02-06 07:00:00,0.2674,0.285,0.5519
2021-02-06 08:00:00,0.2829,0.3212,0.4444
2021-02-06 09:00:00,0.2321,0.3504,0.4444
2021-02-06 10:00:00,0.1789,0.3689,0.4444
2021-02-06 11:00:00,0.1686,0.3631,0.4444
2021-02-06 12:00:00,0.1454,0.358,0.4444
2021-02-06 13:00:00,0.1112,0.357,0.4444
