ts,res,bus,oth
2021-02-01 00:00:00,0.1991,0.1633,1.0
2021-02-01 01:00:00,0.1935,0.1465,1.0
2021-02-01 02:00:00,0.1919,0.1455,1.0
2021-02-01 03:00:00,0.2109,0.1456,1.0
2021-02-01 04:00:00,0.2532,0.2147,1.0
2021-02-01 05:00:00,0.3252,0.3352,1.0
2021-02-01 06:00:00,0.4329,0.5065,0.9781
2021-02-01 07:00:00,0.4297,0.6706,0.5869
2021-02-01 08:00:00,0.3372,0.8184,0.4444
2021-02-01 09:00:00,0.2476,0.8812,0.4444
2021-02-01 10:00:00,0.1967,0.9074,0.4444
2021-02-01 11:00:00,0.1409,0.92,0.4444
2021-02-01 12:00:00,0.105,0.9231,0.4444
2021-02-01 13:00:00,0.0926,0.93,0.4444
2021-02-01 14:00:00,0.0679,0.9286,0.4444
2021-02-01 15:00:00,0.0602,0.9109,0.4444
2021-02-01 16:00:00,0.135,0.8763,0.4444
2021-02-01 17:00:00,0.215,0.8103,0.5417
2021-02-01 18:00:00,0.3173,0.7632,0.9583
2021-02-01 19:00:00,0.3557,0.7356,1.0
2021-02-01 20:00:00,0.3684,0.6889,1.0
2021-02-01 21:00:00,0.3766,0.6303,1.0
2021-02-01 22:00:00,0.3391,0.5492,1.0
2021-02-01 23:00:00,0.2878,0.4844,1.0
2021-02-02 00:00:00,0.2191,0.4139,1.0
2021-02-02 01:00:00,0.2325,0.3798,1.0
2021-02-02 02:00:00,0.2353,0.3573,1.0
2021-02-02 03:00:00,0.227,0.34,1.0
2021-02-02 04:00:00,0.2597,0.3752,1.0
2021-02-02 05:00:00,0.3383,0.4805,1.0
2021-02-02 06:00:00,0.45,0.6142,0.9757
2021-02-02 07:00:00,0.4529,0.7429,0.5799
2021-02-02 08:00:00,0.3337,0.8618,0.4444
2021-02-02 09:00:00,0.2373,0.9106,0.4444
2021-02-02 10:00:00,0.1759,0.9402,0.4444
2021-02-02 11:00:00,0.1255,0.9441,0.4444
2021-02-02 12:00:00,0.0946,0.9475,0.4444
2021-02-02 13:00:00,0.0742,0.9623,0.4444
2021-02-02 14:00:00,0.053,0.9622,0.4444
2021-02-02 15:00:00,0.057,0.934,0.4444
2021-02-02 16:00:00,0.1378,0.8893,0.4444
2021-02-02 17:00:00,0.2142,0.8187,0.5369
2021-02-02 18:00:00,0.2881,0.7833,0.9536
2021-02-02 19:00:00,0.3377,0.7425,1.0
2021-02-02 20:00:00,0.3507,0.6927,1.0
2021-02-02 21:00:00,0.352,0.6256,1.0
2021-02-02 22:00:00,0.3063,0.5509,1.0
2021-02-02 23:00:00,0.2702,0.4722,1.0
2021-02-03 00:00:00,0.2048,0.4106,1.0
2021-02-03 01:00:00,0.2119,0.3748,1.0
2021-02-03 02:00:00,0.2098,0.3537,1.0
2021-02-03 03:00:00,0.2068,0.3357,1.0
2021-02-03 04:00:00,0.2378,0.3719,1.0
2021-02-03 05:00:00,0.3103,0.4768,1.0
2021-02-03 06:00:00,0.4045,0.6107,0.9757
2021-02-03 07:00:00,0.4003,0.7391,0.5799
2021-02-03 08:00:00,0.2923,0.86,0.4444
2021-02-03 09:00:00,0.1982,0.9088,0.4444
2021-02-03 10:00:00,0.1375,0.9383,0.4444
2021-02-03 11:00:00,0.1022,0.9443,0.4444
2021-02-03 12:00:00,0.0747,0.9522,0.4444
2021-02-03 13:00:00,0.0513,0.9697,0.4444
2021-02-03 14:00:00,0.0304,0.9692,0.4444
2021-02-03 15:00:00,0.0352,0.9407,0.4444
2021-02-03 16:00:00,0.1024,0.8957,0.4444
2021-02-03 17:00:00,0.1649,0.823,0.5325
2021-02-03 18:00:00,0.2293,0.7882,0.9492
2021-02-03 19:00:00,0.265,0.7444,1.0
2021-02-03 20:00:00,0.2596,0.6933,1.0
2021-02-03 21:00:00,0.2603,0.6231,1.0
2021-02-03 22:00:00,0.2179,0.5463,1.0
2021-02-03 23:00:00,0.1747,0.4655,1.0
2021-02-04 00:00:00,0.0771,0.394,1.0
2021-02-04 01:00:00,0.0858,0.3582,1.0
2021-02-04 02:00:00,0.0769,0.3317,1.0
2021-02-04 03:00:00,0.0644,0.3155,1.0
2021-02-04 04:00:00,0.0761,0.3545,1.0
2021-02-04 05:00:00,0.1207,0.4587,1.0
2021-02-04 06:00:00,0.1989,0.5938,0.9733
2021-02-04 07:00:00,0.2066,0.7256,0.5728
2021-02-04 08:00:00,0.1452,0.8518,0.4444
2021-02-04 09:00:00,0.0843,0.9092,0.4444
2021-02-04 10:00:00,0.0638,0.9455,0.4444
2021-02-04 11:00:00,0.0588,0.9592,0.4444
2021-02-04 12:00:00,0.0455,0.9711,0.4444
2021-02-04 13:00:00,0.0318,0.9855,0.4444
2021-02-04 14:00:00,0.0173,0.9851,0.4444
2021-02-04 15:00:00,0.021,0.9523,0.4444
2021-02-04 16:00:00,0.0827,0.9035,0.4444
2021-02-04 17:00:00,0.1452,0.8273,0.5278
2021-02-04 18:00:00,0.1907,0.7889,0.9444
2021-02-04 19:00:00,0.2064,0.7439,1.0
2021-02-04 20:00:00,0.2027,0.695,1.0
2021-02-04 21:00:00,0.1963,0.6215,1.0
2021-02-04 22:00:00,0.1578,0.5396,1.0
2021-02-04 23:00:00,0.1155,0.4555,1.0
2021-02-05 00:00:00,0.1532,0.4387,1.0
2021-02-05 01:00:00,0.1643,0.405,1.0
2021-02-05 02:00:00,0.1617,0.3709,1.0
2021-02-05 03:00:00,0.1563,0.3508,1.0
2021-02-05 04:00:00,0.1674,0.3831,1.0
2021-02-05 05:00:00,0.2287,0.4898,1.0
2021-02-05 06:00:00,0.3324,0.6258,0.9711
2021-02-05 07:00:00,0.3257,0.7462,0.5661
2021-02-05 08:00:00,0.2635,0.8594,0.4444
2021-02-05 09:00:00,0.1924,0.9088,0.4444
2021-02-05 10:00:00,0.1671,0.9528,0.4444
2021-02-05 11:00:00,0.1451,0.9516,0.4444
2021-02-05 12:00:00,0.1154,0.9519,0.4444
2021-02-05 13:00:00,0.1131,0.9468,0.4444
2021-02-05 14:00:00,0.0927,0.9266,0.4444
2021-02-05 15:00:00,0.0992,0.8918,0.4444
2021-02-05 16:00:00,0.166,0.8508,0.4444
2021-02-05 17:00:00,0.237,0.7844,0.5231
2021-02-05 18:00:00,0.2939,0.7272,0.9397
2021-02-05 19:00:00,0.3041,0.6768,1.0
2021-02-05 20:00:00,0.3287,0.6353,1.0
2021-02-05 21:00:00,0.3399,0.5765,1.0
2021-02-05 22:00:00,0.3291,0.4921,1.0
2021-02-05 23:00:00,0.2994,0.39,1.0
2021-02-06 00:00:00,0.2192,0.2674,1.0
2021-02-06 01:00:00,0.2231,0.2264,1.0
2021-02-06 02:00:00,0.2107,0.2027,1.0
2021-02-06 03:00:00,0.1997,0.1748,1.0
2021-02-06 04:00:00,0.2015,0.1729,1.0
2021-02-06 05:00:00,0.2263,0.2183,1.0
2021-02-06 06:00:00,0.2489,0.2665,0.9688
2021-02-06 07:00:00,0.2991,0.2931,0.559
2021-02-06 08:00:00,0.3452,0.3456,0.4444
2021-02-06 09:00:00,0.2895,0.3663,0.4444
2021-02-06 10:00:00,0.2491,0.3782,0.4444
2021-02-06 11:00:00,0.2158,0.3675,0.4444
2021-02-06 12:00:00,0.1741,0.3538,0.4444
2021-02-06 13:00:00,0.1571,0.3471,0.4444
2021-02-06 14:00:00,0.1443,0.338,0.4444
2021-02-06 15:00:00,0.1478,0.3271,0.4444
2021-02-06 16:00:00,0.1968,0.3289,0.4444
2021-02-06 17:00:00,0.2494,0.3379,0.5186
2021-02-06 18:00:00,0.2834,0.3472,0.9353
2021-02-06 19:00:00,0.2933,0.3257,1.0
2021-02-06 20:00:00,0.2931,0.2988,1.0
2021-02-06 21:00:00,0.2889,0.255,1.0
