ts,res,bus,oth
2021-02-01 00:00:00,0.1634,0.2057,1.0
2021-02-01 01:00:00,0.1522,0.1969,1.0
2021-02-01 02:00:00,0.1536,0.197,1.0
2021-02-01 03:00:00,0.1696,0.1975,1.0
2021-02-01 04:00:00,0.2049,0.252,1.0
2021-02-01 05:00:00,0.2945,0.3564,1.0
2021-02-01 06:00:00,0.3945,0.5301,1.0
2021-02-01 07:00:00,0.4292,0.6991,0.83
2021-02-01 08:00:00,0.3214,0.8325,0.4572
2021-02-01 09:00:00,0.2209,0.897,0.4444
2021-02-01 10:00:00,0.1373,0.9242,0.4444
2021-02-01 11:00:00,0.1032,0.9396,0.4444
2021-02-01 12:00:00,0.0856,0.9371,0.4444
2021-02-01 13:00:00,0.0571,0.9462,0.4444
2021-02-01 14:00:00,0.0468,0.9464,0.4444
2021-02-01 15:00:00,0.0352,0.9329,0.4444
2021-02-01 16:00:00,0.0812,0.8908,0.4444
2021-02-01 17:00:00,0.1786,0.83,0.4444
2021-02-01 18:00:00,0.2648,0.7742,0.7683
2021-02-01 19:00:00,0.3323,0.752,1.0
2021-02-01 20:00:00,0.3829,0.7195,1.0
2021-02-01 21:00:00,0.3893,0.6686,1.0
2021-02-01 22:00:00,0.3156,0.5929,1.0
2021-02-01 23:00:00,0.2366,0.5382,1.0
2021-02-02 00:00:00,0.1808,0.4709,1.0
2021-02-02 01:00:00,0.1598,0.4365,1.0
2021-02-02 02:00:00,0.1633,0.4116,1.0
2021-02-02 03:00:00,0.1739,0.3927,1.0
2021-02-02 04:00:00,0.189,0.4158,1.0
2021-02-02 05:00:00,0.2721,0.501,1.0
2021-02-02 06:00:00,0.3615,0.6322,1.0
2021-02-02 07:00:00,0.3772,0.7673,0.83
2021-02-02 08:00:00,0.2762,0.8716,0.4572
2021-02-02 09:00:00,0.1808,0.92,0.4444
2021-02-02 10:00:00,0.1053,0.9437,0.4444
2021-02-02 11:00:00,0.0627,0.9499,0.4444
2021-02-02 12:00:00,0.0483,0.9493,0.4444
2021-02-02 13:00:00,0.0262,0.9675,0.4444
2021-02-02 14:00:00,0.0091,0.9743,0.4444
2021-02-02 15:00:00,0.004,0.9517,0.4444
2021-02-02 16:00:00,0.0258,0.9022,0.4444
2021-02-02 17:00:00,0.099,0.8294,0.4444
2021-02-02 18:00:00,0.1564,0.7869,0.7594
2021-02-02 19:00:00,0.2227,0.7543,1.0
2021-02-02 20:00:00,0.2715,0.7104,1.0
2021-02-02 21:00:00,0.2756,0.6504,1.0
2021-02-02 22:00:00,0.2329,0.5838,1.0
2021-02-02 23:00:00,0.182,0.5144,1.0
2021-02-03 00:00:00,0.0767,0.4602,1.0
2021-02-03 01:00:00,0.0595,0.4253,1.0
2021-02-03 02:00:00,0.0606,0.4004,1.0
2021-02-03 03:00:00,0.0637,0.3827,1.0
2021-02-03 04:00:00,0.0877,0.4043,1.0
2021-02-03 05:00:00,0.148,0.4904,1.0
2021-02-03 06:00:00,0.255,0.6206,1.0
2021-02-03 07:00:00,0.2746,0.7532,0.8229
2021-02-03 08:00:00,0.1814,0.8616,0.4549
2021-02-03 09:00:00,0.1055,0.9151,0.4444
2021-02-03 10:00:00,0.0581,0.9486,0.4444
2021-02-03 11:00:00,0.0569,0.9596,0.4444
2021-02-03 12:00:00,0.0455,0.9619,0.4444
2021-02-03 13:00:00,0.04,0.9852,0.4444
2021-02-03 14:00:00,0.0359,0.9949,0.4444
2021-02-03 15:00:00,0.036,0.9709,0.4444
2021-02-03 16:00:00,0.0823,0.9174,0.4444
2021-02-03 17:00:00,0.1687,0.8422,0.4444
2021-02-03 18:00:00,0.2075,0.8001,0.75
2021-02-03 19:00:00,0.2419,0.7661,1.0
2021-02-03 20:00:00,0.2742,0.722,1.0
2021-02-03 21:00:00,0.2638,0.6607,1.0
2021-02-03 22:00:00,0.2113,0.5895,1.0
2021-02-03 23:00:00,0.146,0.5149,1.0
2021-02-04 00:00:00,0.0903,0.4603,1.0
2021-02-04 01:00:00,0.064,0.4255,1.0
2021-02-04 02:00:00,0.0617,0.3968,1.0
2021-02-04 03:00:00,0.0707,0.378,1.0
2021-02-04 04:00:00,0.0857,0.403,1.0
2021-02-04 05:00:00,0.1632,0.489,1.0
2021-02-04 06:00:00,0.2569,0.6189,1.0
2021-02-04 07:00:00,0.2738,0.7549,0.8158
2021-02-04 08:00:00,0.1973,0.8606,0.4525
2021-02-04 09:00:00,0.1093,0.9133,0.4444
2021-02-04 10:00:00,0.0722,0.9402,0.4444
2021-02-04 11:00:00,0.0522,0.952,0.4444
2021-02-04 12:00:00,0.0414,0.9573,0.4444
2021-02-04 13:00:00,0.0275,0.976,0.4444
2021-02-04 14:00:00,0.0168,0.982,0.4444
2021-02-04 15:00:00,0.0234,0.9568,0.4444
2021-02-04 16:00:00,0.059,0.9046,0.4444
2021-02-04 17:00:00,0.1503,0.8308,0.4444
2021-02-04 18:00:00,0.2114,0.7923,0.75
2021-02-04 19:00:00,0.2671,0.7591,1.0
2021-02-04 20:00:00,0.3109,0.7146,1.0
2021-02-04 21:00:00,0.3256,0.6556,1.0
2021-02-04 22:00:00,0.2703,0.5869,1.0
2021-02-04 23:00:00,0.2187,0.5165,1.0
2021-02-05 00:00:00,0.1393,0.4972,1.0
2021-02-05 01:00:00,0.1209,0.4665,1.0
2021-02-05 02:00:00,0.1261,0.4359,1.0
2021-02-05 03:00:00,0.1289,0.4118,1.0
