ts,res,bus,oth
2021-02-01 00:00:00,0.1939,0.1849,1.0
2021-02-01 01:00:00,0.2056,0.1778,1.0
2021-02-01 02:00:00,0.2084,0.1765,1.0
2021-02-01 03:00:00,0.2318,0.173,1.0
2021-02-01 04:00:00,0.2477,0.2217,1.0
2021-02-01 05:00:00,0.308,0.3331,1.0
2021-02-01 06:00:00,0.4463,0.5251,1.0
2021-02-01 07:00:00,0.4207,0.6936,0.6667
2021-02-01 08:00:00,0.3526,0.8361,0.4444
2021-02-01 09:00:00,0.2555,0.8908,0.4444
2021-02-01 10:00:00,0.1766,0.9107,0.4444
2021-02-01 11:00:00,0.1253,0.9193,0.4444
2021-02-01 12:00:00,0.1002,0.9229,0.4444
2021-02-01 13:00:00,0.0859,0.9313,0.4444
2021-02-01 14:00:00,0.0628,0.9272,0.4444
2021-02-01 15:00:00,0.0629,0.9081,0.4444
2021-02-01 16:00:00,0.125,0.8621,0.4444
2021-02-01 17:00:00,0.2231,0.7904,0.5186
2021-02-01 18:00:00,0.2758,0.7663,0.9353
2021-02-01 19:00:00,0.3063,0.7422,1.0
2021-02-01 20:00:00,0.3444,0.7106,1.0
2021-02-01 21:00:00,0.3302,0.653,1.0
2021-02-01 22:00:00,0.2916,0.5673,1.0
2021-02-01 23:00:00,0.2305,0.5084,1.0
2021-02-02 00:00:00,0.1819,0.4375,1.0
2021-02-02 01:00:00,0.1771,0.4055,1.0
2021-02-02 02:00:00,0.1783,0.3816,1.0
2021-02-02 03:00:00,0.194,0.3597,1.0
2021-02-02 04:00:00,0.2111,0.3769,1.0
2021-02-02 05:00:00,0.258,0.4743,1.0
2021-02-02 06:00:00,0.3978,0.6301,1.0
2021-02-02 07:00:00,0.3738,0.7649,0.6667
2021-02-02 08:00:00,0.3006,0.8743,0.4444
2021-02-02 09:00:00,0.1941,0.9126,0.4444
2021-02-02 10:00:00,0.1212,0.9329,0.4444
2021-02-02 11:00:00,0.0898,0.9355,0.4444
2021-02-02 12:00:00,0.0718,0.9375,0.4444
2021-02-02 13:00:00,0.0582,0.951,0.4444
2021-02-02 14:00:00,0.048,0.9532,0.4444
2021-02-02 15:00:00,0.0451,0.9264,0.4444
2021-02-02 16:00:00,0.0964,0.8701,0.4444
2021-02-02 17:00:00,0.1727,0.7887,0.5139
2021-02-02 18:00:00,0.2298,0.7797,0.9306
2021-02-02 19:00:00,0.262,0.7388,1.0
2021-02-02 20:00:00,0.2984,0.7006,1.0
2021-02-02 21:00:00,0.2936,0.641,1.0
2021-02-02 22:00:00,0.2542,0.5605,1.0
2021-02-02 23:00:00,0.2019,0.4888,1.0
2021-02-03 00:00:00,0.1623,0.4284,1.0
2021-02-03 01:00:00,0.1645,0.3972,1.0
2021-02-03 02:00:00,0.1701,0.3725,1.0
2021-02-03 03:00:00,0.1812,0.3493,1.0
2021-02-03 04:00:00,0.2013,0.3669,1.0
2021-02-03 05:00:00,0.2472,0.4642,1.0
2021-02-03 06:00:00,0.3689,0.62,1.0
2021-02-03 07:00:00,0.3446,0.7529,0.6572
2021-02-03 08:00:00,0.2632,0.8625,0.4444
2021-02-03 09:00:00,0.1628,0.9035,0.4444
2021-02-03 10:00:00,0.0998,0.9258,0.4444
2021-02-03 11:00:00,0.0739,0.9294,0.4444
2021-02-03 12:00:00,0.0544,0.934,0.4444
2021-02-03 13:00:00,0.0444,0.9474,0.4444
2021-02-03 14:00:00,0.0272,0.9505,0.4444
2021-02-03 15:00:00,0.0195,0.926,0.4444
2021-02-03 16:00:00,0.056,0.8727,0.4444
2021-02-03 17:00:00,0.1168,0.7921,0.5092
2021-02-03 18:00:00,0.1713,0.778,0.9258
2021-02-03 19:00:00,0.1986,0.7387,1.0
2021-02-03 20:00:00,0.2231,0.7006,1.0
2021-02-03 21:00:00,0.2233,0.6393,1.0
2021-02-03 22:00:00,0.1857,0.5573,1.0
2021-02-03 23:00:00,0.1354,0.483,1.0
2021-02-04 00:00:00,0.1031,0.4387,1.0
2021-02-04 01:00:00,0.0801,0.4038,1.0
2021-02-04 02:00:00,0.0706,0.3761,1.0
2021-02-04 03:00:00,0.0747,0.3519,1.0
2021-02-04 04:00:00,0.0872,0.3671,1.0
2021-02-04 05:00:00,0.1111,0.4616,1.0
2021-02-04 06:00:00,0.2331,0.6155,0.9989
2021-02-04 07:00:00,0.2334,0.7564,0.6494
2021-02-04 08:00:00,0.1933,0.8655,0.4444
2021-02-04 09:00:00,0.1092,0.9044,0.4444
2021-02-04 10:00:00,0.0885,0.9272,0.4444
2021-02-04 11:00:00,0.0807,0.9339,0.4444
2021-02-04 12:00:00,0.0723,0.9352,0.4444
2021-02-04 13:00:00,0.059,0.9532,0.4444
2021-02-04 14:00:00,0.0575,0.9551,0.4444
2021-02-04 15:00:00,0.0569,0.9265,0.4444
2021-02-04 16:00:00,0.1162,0.8683,0.4444
2021-02-04 17:00:00,0.1917,0.7884,0.5047
2021-02-04 18:00:00,0.2565,0.7778,0.9214
2021-02-04 19:00:00,0.2888,0.7339,1.0
2021-02-04 20:00:00,0.3271,0.6955,1.0
2021-02-04 21:00:00,0.3107,0.6374,1.0
2021-02-04 22:00:00,0.2801,0.557,1.0
2021-02-04 23:00:00,0.225,0.4858,1.0
2021-02-05 00:00:00,0.1832,0.4695,1.0
2021-02-05 01:00:00,0.1775,0.4388,1.0
2021-02-05 02:00:00,0.1833,0.4061,1.0
