ts,res,bus,oth
2021-02-01 00:00:00,0.1902,0.1464,1.0
2021-02-01 01:00:00,0.178,0.1394,1.0
2021-02-01 02:00:00,0.188,0.1417,1.0
2021-02-01 03:00:00,0.1944,0.1476,1.0
2021-02-01 04:00:00,0.2193,0.209,1.0
2021-02-01 05:00:00,0.2872,0.3152,1.0
2021-02-01 06:00:00,0.3829,0.5255,1.0
2021-02-01 07:00:00,0.4417,0.6942,0.6572
2021-02-01 08:00:00,0.3701,0.81,0.4444
2021-02-01 09:00:00,0.2733,0.8638,0.4444
2021-02-01 10:00:00,0.176,0.8852,0.4444
2021-02-01 11:00:00,0.1252,0.8945,0.4444
2021-02-01 12:00:00,0.0979,0.895,0.4444
2021-02-01 13:00:00,0.0745,0.9045,0.4444
2021-02-01 14:00:00,0.0564,0.8994,0.4444
2021-02-01 15:00:00,0.0592,0.8729,0.4444
2021-02-01 16:00:00,0.1197,0.8172,0.4444
2021-02-01 17:00:00,0.2239,0.7403,0.5047
2021-02-01 18:00:00,0.3216,0.7224,0.9214
2021-02-01 19:00:00,0.3576,0.6952,1.0
2021-02-01 20:00:00,0.3805,0.6572,1.0
2021-02-01 21:00:00,0.3689,0.6026,1.0
2021-02-01 22:00:00,0.3069,0.5211,1.0
2021-02-01 23:00:00,0.2645,0.4553,1.0
2021-02-02 00:00:00,0.1948,0.3732,1.0
2021-02-02 01:00:00,0.1839,0.345,1.0
2021-02-02 02:00:00,0.1887,0.3242,1.0
2021-02-02 03:00:00,0.1984,0.3106,1.0
2021-02-02 04:00:00,0.2196,0.3403,1.0
2021-02-02 05:00:00,0.2743,0.4343,1.0
2021-02-02 06:00:00,0.3674,0.6067,0.9989
2021-02-02 07:00:00,0.4112,0.7448,0.6494
2021-02-02 08:00:00,0.3199,0.8295,0.4444
2021-02-02 09:00:00,0.2142,0.8691,0.4444
2021-02-02 10:00:00,0.126,0.892,0.4444
2021-02-02 11:00:00,0.0878,0.8952,0.4444
2021-02-02 12:00:00,0.0678,0.8987,0.4444
2021-02-02 13:00:00,0.0486,0.9146,0.4444
2021-02-02 14:00:00,0.0354,0.9156,0.4444
2021-02-02 15:00:00,0.0352,0.8851,0.4444
2021-02-02 16:00:00,0.0905,0.8266,0.4444
2021-02-02 17:00:00,0.1634,0.7473,0.5
2021-02-02 18:00:00,0.2422,0.7324,0.9167
2021-02-02 19:00:00,0.2722,0.692,1.0
2021-02-02 20:00:00,0.2866,0.6462,1.0
2021-02-02 21:00:00,0.2775,0.5841,1.0
2021-02-02 22:00:00,0.2263,0.5039,1.0
2021-02-02 23:00:00,0.1719,0.4256,1.0
2021-02-03 00:00:00,0.1565,0.3765,1.0
2021-02-03 01:00:00,0.147,0.3481,1.0
2021-02-03 02:00:00,0.1522,0.3269,1.0
2021-02-03 03:00:00,0.1605,0.3124,1.0
2021-02-03 04:00:00,0.1789,0.3426,1.0
2021-02-03 05:00:00,0.2321,0.4372,1.0
2021-02-03 06:00:00,0.3257,0.6112,0.9965
2021-02-03 07:00:00,0.3707,0.749,0.6424
2021-02-03 08:00:00,0.283,0.834,0.4444
2021-02-03 09:00:00,0.1797,0.8756,0.4444
2021-02-03 10:00:00,0.0994,0.9018,0.4444
2021-02-03 11:00:00,0.0699,0.9107,0.4444
2021-02-03 12:00:00,0.0507,0.919,0.4444
2021-02-03 13:00:00,0.0334,0.9388,0.4444
2021-02-03 14:00:00,0.027,0.9426,0.4444
2021-02-03 15:00:00,0.0237,0.9149,0.4444
2021-02-03 16:00:00,0.0712,0.8603,0.4444
2021-02-03 17:00:00,0.1363,0.7793,0.4953
2021-02-03 18:00:00,0.2134,0.7572,0.9119
2021-02-03 19:00:00,0.2433,0.7125,1.0
2021-02-03 20:00:00,0.2569,0.6618,1.0
2021-02-03 21:00:00,0.2424,0.5968,1.0
2021-02-03 22:00:00,0.1965,0.5124,1.0
2021-02-03 23:00:00,0.1313,0.4286,1.0
2021-02-04 00:00:00,0.0785,0.3731,1.0
2021-02-04 01:00:00,0.06,0.3408,1.0
2021-02-04 02:00:00,0.0542,0.3152,1.0
2021-02-04 03:00:00,0.0513,0.2973,1.0
2021-02-04 04:00:00,0.0599,0.3206,1.0
2021-02-04 05:00:00,0.1007,0.4119,1.0
2021-02-04 06:00:00,0.172,0.5911,0.9965
2021-02-04 07:00:00,0.2213,0.74,0.6424
2021-02-04 08:00:00,0.1699,0.8379,0.4444
2021-02-04 09:00:00,0.096,0.8843,0.4444
2021-02-04 10:00:00,0.0605,0.917,0.4444
2021-02-04 11:00:00,0.0529,0.9269,0.4444
2021-02-04 12:00:00,0.052,0.9317,0.4444
2021-02-04 13:00:00,0.0511,0.9502,0.4444
2021-02-04 14:00:00,0.0446,0.9501,0.4444
2021-02-04 15:00:00,0.0529,0.9192,0.4444
2021-02-04 16:00:00,0.1105,0.8567,0.4444
2021-02-04 17:00:00,0.19,0.7745,0.4908
2021-02-04 18:00:00,0.2755,0.753,0.9075
2021-02-04 19:00:00,0.3078,0.71,1.0
2021-02-04 20:00:00,0.3225,0.6623,1.0
2021-02-04 21:00:00,0.3216,0.6008,1.0
