ts,res,bus,oth
2021-02-01 00:00:00,0.0802,0.2016,1.0
2021-02-01 01:00:00,0.0718,0.1842,1.0
2021-02-01 02:00:00,0.0596,0.1755,1.0
2021-02-01 03:00:00,0.039,0.1716,1.0
2021-02-01 04:00:00,0.0635,0.2181,1.0
2021-02-01 05:00:00,0.1171,0.3213,1.0
2021-02-01 06:00:00,0.2338,0.4811,0.9919
2021-02-01 07:00:00,0.2681,0.6391,0.6286
2021-02-01 08:00:00,0.2491,0.7499,0.4444
2021-02-01 09:00:00,0.1367,0.8068,0.4444
2021-02-01 10:00:00,0.0715,0.8351,0.4444
2021-02-01 11:00:00,0.0611,0.8523,0.4444
2021-02-01 12:00:00,0.0502,0.8622,0.4444
2021-02-01 13:00:00,0.0162,0.8736,0.4444
2021-02-01 14:00:00,0.0255,0.8812,0.4444
2021-02-01 15:00:00,0.0095,0.8715,0.4444
2021-02-01 16:00:00,0.0616,0.8345,0.4444
2021-02-01 17:00:00,0.1329,0.7805,0.4594
2021-02-01 18:00:00,0.2109,0.7534,0.8367
2021-02-01 19:00:00,0.2623,0.7368,1.0
2021-02-01 20:00:00,0.2866,0.6987,1.0
2021-02-01 21:00:00,0.2742,0.639,1.0
2021-02-01 22:00:00,0.2498,0.5657,1.0
2021-02-01 23:00:00,0.1796,0.5085,1.0
2021-02-02 00:00:00,0.1556,0.4399,1.0
2021-02-02 01:00:00,0.1405,0.4075,1.0
2021-02-02 02:00:00,0.134,0.3799,1.0
2021-02-02 03:00:00,0.1267,0.3582,1.0
2021-02-02 04:00:00,0.166,0.3737,1.0
2021-02-02 05:00:00,0.2246,0.4639,1.0
2021-02-02 06:00:00,0.3469,0.5883,0.9896
2021-02-02 07:00:00,0.3846,0.7045,0.6215
2021-02-02 08:00:00,0.298,0.7926,0.4444
2021-02-02 09:00:00,0.1655,0.8401,0.4444
2021-02-02 10:00:00,0.1,0.8663,0.4444
2021-02-02 11:00:00,0.0698,0.8758,0.4444
2021-02-02 12:00:00,0.0409,0.8843,0.4444
2021-02-02 13:00:00,0.0291,0.9049,0.4444
2021-02-02 14:00:00,0.0172,0.9166,0.4444
2021-02-02 15:00:00,0.0235,0.897,0.4444
2021-02-02 16:00:00,0.0595,0.8524,0.4444
2021-02-02 17:00:00,0.1603,0.7889,0.4572
2021-02-02 18:00:00,0.1981,0.7722,0.83
2021-02-02 19:00:00,0.2537,0.745,1.0
2021-02-02 20:00:00,0.2691,0.7023,1.0
2021-02-02 21:00:00,0.2574,0.638,1.0
2021-02-02 22:00:00,0.2329,0.5663,1.0
2021-02-02 23:00:00,0.1505,0.4953,1.0
2021-02-03 00:00:00,0.1009,0.4353,1.0
2021-02-03 01:00:00,0.0806,0.4015,1.0
2021-02-03 02:00:00,0.071,0.3739,1.0
2021-02-03 03:00:00,0.0716,0.3521,1.0
2021-02-03 04:00:00,0.0949,0.3683,1.0
2021-02-03 05:00:00,0.1331,0.4623,1.0
2021-02-03 06:00:00,0.2319,0.5839,0.9896
2021-02-03 07:00:00,0.2599,0.7039,0.6215
2021-02-03 08:00:00,0.2031,0.7912,0.4444
2021-02-03 09:00:00,0.0985,0.8423,0.4444
2021-02-03 10:00:00,0.0464,0.8765,0.4444
2021-02-03 11:00:00,0.0418,0.8951,0.4444
2021-02-03 12:00:00,0.0468,0.9118,0.4444
2021-02-03 13:00:00,0.0477,0.9348,0.4444
2021-02-03 14:00:00,0.0543,0.9506,0.4444
2021-02-03 15:00:00,0.0758,0.9325,0.4444
2021-02-03 16:00:00,0.1289,0.8922,0.4444
2021-02-03 17:00:00,0.2077,0.8295,0.4549
2021-02-03 18:00:00,0.2526,0.8069,0.8229
2021-02-03 19:00:00,0.2942,0.7732,1.0
2021-02-03 20:00:00,0.2946,0.7277,1.0
2021-02-03 21:00:00,0.2709,0.6606,1.0
2021-02-03 22:00:00,0.231,0.5848,1.0
2021-02-03 23:00:00,0.1438,0.5121,1.0
2021-02-04 00:00:00,0.0544,0.4443,1.0
2021-02-04 01:00:00,0.0284,0.4076,1.0
2021-02-04 02:00:00,0.0097,0.38,1.0
2021-02-04 03:00:00,0.0,0.357,1.0
2021-02-04 04:00:00,0.012,0.3726,1.0
2021-02-04 05:00:00,0.034,0.467,1.0
2021-02-04 06:00:00,0.1188,0.5904,0.9872
2021-02-04 07:00:00,0.159,0.7082,0.6144
2021-02-04 08:00:00,0.1242,0.7999,0.4444
2021-02-04 09:00:00,0.0608,0.8585,0.4444
2021-02-04 10:00:00,0.0456,0.901,0.4444
2021-02-04 11:00:00,0.0581,0.9264,0.4444
2021-02-04 12:00:00,0.0776,0.9514,0.4444
2021-02-04 13:00:00,0.0889,0.9793,0.4444
2021-02-04 14:00:00,0.116,0.9959,0.4444
2021-02-04 15:00:00,0.1429,0.979,0.4444
2021-02-04 16:00:00,0.2322,0.9349,0.4444
2021-02-04 17:00:00,0.3015,0.8675,0.4525
2021-02-04 18:00:00,0.3207,0.8367,0.8158
