ts,res,bus,oth
2021-02-01 00:00:00,0.1042,0.1594,1.0
2021-02-01 01:00:00,0.1166,0.1497,1.0
2021-02-01 02:00:00,0.1101,0.1477,1.0
2021-02-01 03:00:00,0.1124,0.145,1.0
2021-02-01 04:00:00,0.1308,0.1951,1.0
2021-02-01 05:00:00,0.1813,0.3027,1.0
2021-02-01 06:00:00,0.316,0.5107,0.9989
2021-02-01 07:00:00,0.3286,0.6681,0.6494
2021-02-01 08:00:00,0.2221,0.7722,0.4444
2021-02-01 09:00:00,0.1316,0.8248,0.4444
2021-02-01 10:00:00,0.0705,0.8544,0.4444
2021-02-01 11:00:00,0.0582,0.874,0.4444
2021-02-01 12:00:00,0.0546,0.8816,0.4444
2021-02-01 13:00:00,0.0373,0.8915,0.4444
2021-02-01 14:00:00,0.0313,0.9005,0.4444
2021-02-01 15:00:00,0.0269,0.8904,0.4444
2021-02-01 16:00:00,0.0681,0.8466,0.4444
2021-02-01 17:00:00,0.1636,0.7888,0.4733
2021-02-01 18:00:00,0.2524,0.7607,0.8783
2021-02-01 19:00:00,0.3034,0.7395,1.0
2021-02-01 20:00:00,0.3349,0.6978,1.0
2021-02-01 21:00:00,0.3273,0.6408,1.0
2021-02-01 22:00:00,0.2649,0.5529,1.0
2021-02-01 23:00:00,0.187,0.4793,1.0
2021-02-02 00:00:00,0.1662,0.3958,1.0
2021-02-02 01:00:00,0.1746,0.3643,1.0
2021-02-02 02:00:00,0.1719,0.3397,1.0
2021-02-02 03:00:00,0.173,0.3227,1.0
2021-02-02 04:00:00,0.1912,0.3456,1.0
2021-02-02 05:00:00,0.2441,0.4406,1.0
2021-02-02 06:00:00,0.3732,0.6145,0.9989
2021-02-02 07:00:00,0.3735,0.7434,0.6494
2021-02-02 08:00:00,0.2487,0.8196,0.4444
2021-02-02 09:00:00,0.1514,0.8608,0.4444
2021-02-02 10:00:00,0.0842,0.8882,0.4444
2021-02-02 11:00:00,0.0647,0.8941,0.4444
2021-02-02 12:00:00,0.0509,0.9004,0.4444
2021-02-02 13:00:00,0.0269,0.9171,0.4444
2021-02-02 14:00:00,0.0192,0.9267,0.4444
2021-02-02 15:00:00,0.0173,0.9035,0.4444
2021-02-02 16:00:00,0.0545,0.853,0.4444
2021-02-02 17:00:00,0.151,0.7914,0.4711
2021-02-02 18:00:00,0.2248,0.7794,0.8717
2021-02-02 19:00:00,0.2617,0.744,1.0
2021-02-02 20:00:00,0.2904,0.6973,1.0
2021-02-02 21:00:00,0.2914,0.6338,1.0
2021-02-02 22:00:00,0.2466,0.548,1.0
2021-02-02 23:00:00,0.1634,0.4657,1.0
2021-02-03 00:00:00,0.1355,0.4005,1.0
2021-02-03 01:00:00,0.1348,0.3676,1.0
2021-02-03 02:00:00,0.127,0.3411,1.0
2021-02-03 03:00:00,0.1332,0.3229,1.0
2021-02-03 04:00:00,0.1499,0.3439,1.0
2021-02-03 05:00:00,0.2025,0.4386,1.0
2021-02-03 06:00:00,0.3225,0.6145,0.9965
2021-02-03 07:00:00,0.3226,0.7423,0.6424
2021-02-03 08:00:00,0.2098,0.8165,0.4444
2021-02-03 09:00:00,0.111,0.8609,0.4444
2021-02-03 10:00:00,0.0545,0.8924,0.4444
2021-02-03 11:00:00,0.0407,0.9027,0.4444
2021-02-03 12:00:00,0.0221,0.9145,0.4444
2021-02-03 13:00:00,0.0018,0.9371,0.4444
2021-02-03 14:00:00,0.0,0.9495,0.4444
2021-02-03 15:00:00,0.0037,0.9291,0.4444
2021-02-03 16:00:00,0.0299,0.8799,0.4444
2021-02-03 17:00:00,0.1247,0.8167,0.4688
2021-02-03 18:00:00,0.191,0.7981,0.8646
2021-02-03 19:00:00,0.225,0.7582,1.0
2021-02-03 20:00:00,0.2518,0.7092,1.0
2021-02-03 21:00:00,0.2425,0.6436,1.0
2021-02-03 22:00:00,0.207,0.5543,1.0
2021-02-03 23:00:00,0.1249,0.4683,1.0
2021-02-04 00:00:00,0.0677,0.3935,1.0
2021-02-04 01:00:00,0.0607,0.3588,1.0
2021-02-04 02:00:00,0.0443,0.3321,1.0
2021-02-04 03:00:00,0.0515,0.3181,1.0
2021-02-04 04:00:00,0.0556,0.3401,1.0
2021-02-04 05:00:00,0.0852,0.4305,1.0
2021-02-04 06:00:00,0.1808,0.6064,0.9942
2021-02-04 07:00:00,0.1883,0.7534,0.6353
2021-02-04 08:00:00,0.1255,0.8437,0.4444
2021-02-04 09:00:00,0.0599,0.8989,0.4444
2021-02-04 10:00:00,0.044,0.9342,0.4444
2021-02-04 11:00:00,0.0431,0.9501,0.4444
2021-02-04 12:00:00,0.0414,0.9641,0.4444
2021-02-04 13:00:00,0.0374,0.9856,0.4444
2021-02-04 14:00:00,0.0326,1.0,0.4444
2021-02-04 15:00:00,0.0471,0.9739,0.4444
2021-02-04 16:00:00,0.1011,0.924,0.4444
2021-02-04 17:00:00,0.1989,0.8467,0.4664
2021-02-04 18:00:00,0.2473,0.8162,0.8575
2021-02-04 19:00:00,0.2716,0.7751,1.0
2021-02-04 20:00:00,0.2776,0.7255,1.0
2021-02-04 21:00:00,0.2709,0.657,1.0
2021-02-04 22:00:00,0.2133,0.5615,1.0
2021-02-04 23:00:00,0.1451,0.4749,1.0
2021-02-05 00:00:00,0.107,0.4196,1.0
2021-02-05 01:00:00,0.1067,0.3822,1.0
2021-02-05 02:00:00,0.0876,0.346,1.0
2021-02-05 03:00:00,0.0787,0.3249,1.0
2021-02-05 04:00:00,0.089,0.3417,1.0
2021-02-05 05:00:00,0.1442,0.4391,1.0
2021-02-05 06:00:00,0.2428,0.6149,0.9942
2021-02-05 07:00:00,0.2674,0.7455,0.6353
2021-02-05 08:00:00,0.1879,0.8304,0.4444
2021-02-05 09:00:00,0.1296,0.8689,0.4444
2021-02-05 10:00:00,0.096,0.9099,0.4444
2021-02-05 11:00:00,0.0913,0.9053,0.4444
2021-02-05 12:00:00,0.0779,0.9019,0.4444
2021-02-05 13:00:00,0.0664,0.9027,0.4444
2021-02-05 14:00:00,0.0606,0.8897,0.4444
2021-02-05 15:00:00,0.0684,0.8551,0.4444
2021-02-05 16:00:00,0.1322,0.8094,0.4444
2021-02-05 17:00:00,0.2263,0.7578,0.4664
2021-02-05 18:00:00,0.2789,0.7213,0.8575
2021-02-05 19:00:00,0.2847,0.681,1.0
2021-02-05 20:00:00,0.3027,0.643,1.0
2021-02-05 21:00:00,0.2992,0.5839,1.0
2021-02-05 22:00:00,0.2693,0.4958,1.0
2021-02-05 23:00:00,0.2283,0.3891,1.0
2021-02-06 00:00:00,0.1433,0.2697,1.0
2021-02-06 01:00:00,0.1407,0.2304,1.0
2021-02-06 02:00:00,0.1252,0.2029,1.0
2021-02-06 03:00:00,0.122,0.1756,1.0
2021-02-06 04:00:00,0.1281,0.1631,1.0
2021-02-06 05:00:00,0.1507,0.1936,1.0
2021-02-06 06:00:00,0.1738,0.2701,0.9919
2021-02-06 07:00:00,0.2496,0.3012,0.6286
2021-02-06 08:00:00,0.2453,0.3206,0.4444
2021-02-06 09:00:00,0.1995,0.3439,0.4444
2021-02-06 10:00:00,0.1441,0.3547,0.4444
2021-02-06 11:00:00,0.103,0.3474,0.4444
2021-02-06 12:00:00,0.0863,0.3419,0.4444
2021-02-06 13:00:00,0.0745,0.3399,0.4444
2021-02-06 14:00:00,0.0535,0.3436,0.4444
2021-02-06 15:00:00,0.0406,0.3322,0.4444
2021-02-06 16:00:00,0.0708,0.3193,0.4444
2021-02-06 17:00:00,0.1205,0.3277,0.4642
2021-02-06 18:00:00,0.1804,0.3819,0.8508
2021-02-06 19:00:00,0.2034,0.3662,1.0
2021-02-06 20:00:00,0.2005,0.3327,1.0
2021-02-06 21:00:00,0.2301,0.2899,1.0
2021-02-06 22:00:00,0.2158,0.223,1.0
2021-02-06 23:00:00,0.1569,0.154,1.0
2021-02-07 00:00:00,0.1615,0.0402,1.0
2021-02-07 01:00:00,0.1586,0.0194,1.0
2021-02-07 02:00:00,0.1454,0.0084,1.0
2021-02-07 03:00:00,0.1391,0.0,1.0
2021-02-07 04:00:00,0.144,0.0025,1.0
2021-02-07 05:00:00,0.1795,0.0167,1.0
2021-02-07 06:00:00,0.2076,0.0616,0.9896
2021-02-07 07:00:00,0.2759,0.0912,0.6215
2021-02-07 08:00:00,0.2751,0.0806,0.4444
2021-02-07 09:00:00,0.197,0.0873,0.4444
2021-02-07 10:00:00,0.1512,0.1099,0.4444
2021-02-07 11:00:00,0.1211,0.1396,0.4444
2021-02-07 12:00:00,0.1047,0.1618,0.4444
2021-02-07 13:00:00,0.0851,0.1736,0.4444
2021-02-07 14:00:00,0.0773,0.1826,0.4444
2021-02-07 15:00:00,0.0758,0.197,0.4444
