ts,res,bus,oth
2021-02-01 00:00:00,0.1595,0.1801,1.0
2021-02-01 01:00:00,0.1522,0.1682,1.0
2021-02-01 02:00:00,0.1654,0.1679,1.0
2021-02-01 03:00:00,0.1846,0.1664,1.0
2021-02-01 04:00:00,0.2132,0.2281,1.0
2021-02-01 05:00:00,0.2862,0.3321,1.0
2021-02-01 06:00:00,0.3771,0.5114,1.0
2021-02-01 07:00:00,0.4219,0.6836,0.7406
2021-02-01 08:00:00,0.3293,0.8275,0.4444
2021-02-01 09:00:00,0.2072,0.8854,0.4444
2021-02-01 10:00:00,0.1562,0.9133,0.4444
2021-02-01 11:00:00,0.0981,0.9293,0.4444
2021-02-01 12:00:00,0.068,0.9338,0.4444
2021-02-01 13:00:00,0.0356,0.9481,0.4444
2021-02-01 14:00:00,0.0313,0.9469,0.4444
2021-02-01 15:00:00,0.0247,0.9331,0.4444
2021-02-01 16:00:00,0.0669,0.8962,0.4444
2021-02-01 17:00:00,0.16,0.8205,0.4618
2021-02-01 18:00:00,0.2208,0.7754,0.8438
2021-02-01 19:00:00,0.2707,0.7534,1.0
2021-02-01 20:00:00,0.2798,0.7098,1.0
2021-02-01 21:00:00,0.3028,0.6531,1.0
2021-02-01 22:00:00,0.2575,0.5723,1.0
2021-02-01 23:00:00,0.2081,0.5151,1.0
2021-02-02 00:00:00,0.1566,0.4393,1.0
2021-02-02 01:00:00,0.1524,0.4037,1.0
2021-02-02 02:00:00,0.1575,0.3764,1.0
2021-02-02 03:00:00,0.1684,0.3564,1.0
2021-02-02 04:00:00,0.1865,0.3848,1.0
2021-02-02 05:00:00,0.2397,0.4713,1.0
2021-02-02 06:00:00,0.3144,0.6075,1.0
2021-02-02 07:00:00,0.3571,0.7447,0.7406
2021-02-02 08:00:00,0.2532,0.8636,0.4444
2021-02-02 09:00:00,0.1547,0.9104,0.4444
2021-02-02 10:00:00,0.1061,0.9412,0.4444
2021-02-02 11:00:00,0.074,0.9487,0.4444
2021-02-02 12:00:00,0.0545,0.9545,0.4444
2021-02-02 13:00:00,0.0209,0.9731,0.4444
2021-02-02 14:00:00,0.0109,0.9787,0.4444
2021-02-02 15:00:00,0.0131,0.9571,0.4444
2021-02-02 16:00:00,0.0385,0.9094,0.4444
2021-02-02 17:00:00,0.1213,0.8283,0.4594
2021-02-02 18:00:00,0.186,0.7945,0.8367
2021-02-02 19:00:00,0.2179,0.7594,1.0
2021-02-02 20:00:00,0.2371,0.7087,1.0
2021-02-02 21:00:00,0.2371,0.6463,1.0
2021-02-02 22:00:00,0.209,0.571,1.0
2021-02-02 23:00:00,0.1603,0.4991,1.0
2021-02-03 00:00:00,0.0483,0.4272,1.0
2021-02-03 01:00:00,0.0488,0.3902,1.0
2021-02-03 02:00:00,0.0488,0.3627,1.0
2021-02-03 03:00:00,0.0589,0.3415,1.0
2021-02-03 04:00:00,0.0667,0.3687,1.0
2021-02-03 05:00:00,0.1122,0.4542,1.0
2021-02-03 06:00:00,0.1775,0.5875,1.0
2021-02-03 07:00:00,0.2163,0.7199,0.7317
2021-02-03 08:00:00,0.1581,0.8408,0.4444
2021-02-03 09:00:00,0.0761,0.8978,0.4444
2021-02-03 10:00:00,0.047,0.9363,0.4444
2021-02-03 11:00:00,0.0364,0.9522,0.4444
2021-02-03 12:00:00,0.0218,0.9658,0.4444
2021-02-03 13:00:00,0.014,0.9904,0.4444
2021-02-03 14:00:00,0.0187,1.0,0.4444
2021-02-03 15:00:00,0.0308,0.9819,0.4444
2021-02-03 16:00:00,0.0612,0.9335,0.4444
2021-02-03 17:00:00,0.1493,0.8486,0.4594
2021-02-03 18:00:00,0.1895,0.811,0.8367
2021-02-03 19:00:00,0.2117,0.7728,1.0
2021-02-03 20:00:00,0.2179,0.7208,1.0
2021-02-03 21:00:00,0.2008,0.6565,1.0
2021-02-03 22:00:00,0.1567,0.5803,1.0
2021-02-03 23:00:00,0.1085,0.5076,1.0
2021-02-04 00:00:00,0.0742,0.4397,1.0
2021-02-04 01:00:00,0.0566,0.402,1.0
2021-02-04 02:00:00,0.0544,0.3728,1.0
2021-02-04 03:00:00,0.0592,0.3528,1.0
2021-02-04 04:00:00,0.0645,0.3782,1.0
2021-02-04 05:00:00,0.1085,0.4626,1.0
2021-02-04 06:00:00,0.1665,0.5994,1.0
2021-02-04 07:00:00,0.2093,0.7403,0.7222
2021-02-04 08:00:00,0.1465,0.8623,0.4444
2021-02-04 09:00:00,0.0853,0.9132,0.4444
2021-02-04 10:00:00,0.0629,0.9502,0.4444
