ts,res,bus,oth
2021-02-01 00:00:00,0.1166,0.1309,0.7524
2021-02-01 01:00:00,0.1008,0.1251,0.7741
2021-02-01 02:00:00,0.0938,0.1245,0.7817
2021-02-01 03:00:00,0.0911,0.12,0.7889
2021-02-01 04:00:00,0.1135,0.159,0.7275
2021-02-01 05:00:00,0.1547,0.2214,0.6239
2021-02-01 06:00:00,0.1867,0.2963,0.517
2021-02-01 07:00:00,0.2403,0.423,0.3368
2021-02-01 08:00:00,0.2071,0.5185,0.2744
2021-02-01 09:00:00,0.1493,0.5737,0.277
2021-02-01 10:00:00,0.1125,0.6075,0.2801
2021-02-01 11:00:00,0.0979,0.6214,0.2808
2021-02-01 12:00:00,0.0871,0.6318,0.281
2021-02-01 13:00:00,0.0613,0.6517,0.2869
2021-02-01 14:00:00,0.0609,0.6523,0.2868
2021-02-01 15:00:00,0.0514,0.6557,0.2929
2021-02-01 16:00:00,0.0948,0.6161,0.2891
2021-02-01 17:00:00,0.1389,0.5425,0.3186
2021-02-01 18:00:00,0.169,0.3991,0.4319
2021-02-01 19:00:00,0.1901,0.3657,0.4441
2021-02-01 20:00:00,0.1912,0.3535,0.4553
2021-02-01 21:00:00,0.1851,0.3375,0.4774
2021-02-01 22:00:00,0.1755,0.3099,0.5146
2021-02-01 23:00:00,0.1524,0.2891,0.5585
2021-02-02 00:00:00,0.1282,0.2627,0.6091
2021-02-02 01:00:00,0.1133,0.2516,0.6351
2021-02-02 02:00:00,0.1117,0.239,0.6493
2021-02-02 03:00:00,0.1152,0.2266,0.6582
2021-02-02 04:00:00,0.1405,0.2357,0.6239
2021-02-02 05:00:00,0.182,0.2728,0.5453
2021-02-02 06:00:00,0.2141,0.3199,0.466
2021-02-02 07:00:00,0.2472,0.4383,0.3145
2021-02-02 08:00:00,0.2122,0.5265,0.2613
2021-02-02 09:00:00,0.1428,0.5856,0.2716
2021-02-02 10:00:00,0.0987,0.6241,0.2772
2021-02-02 11:00:00,0.0937,0.629,0.2773
2021-02-02 12:00:00,0.0631,0.6521,0.2848
2021-02-02 13:00:00,0.0487,0.6663,0.285
2021-02-02 14:00:00,0.0467,0.6683,0.285
2021-02-02 15:00:00,0.0522,0.6599,0.2879
2021-02-02 16:00:00,0.1003,0.6156,0.2842
2021-02-02 17:00:00,0.1523,0.539,0.3087
2021-02-02 18:00:00,0.1693,0.4053,0.4254
2021-02-02 19:00:00,0.1835,0.371,0.4455
2021-02-02 20:00:00,0.1885,0.356,0.4555
