ts,res,bus,oth
2021-02-01 00:00:00,0.5351,0.1287,0.3362
2021-02-01 01:00:00,0.5352,0.1188,0.346
2021-02-01 02:00:00,0.5336,0.1186,0.3478
2021-02-01 03:00:00,0.5569,0.1127,0.3303
2021-02-01 04:00:00,0.5738,0.1427,0.2835
2021-02-01 05:00:00,0.5928,0.1792,0.228
2021-02-01 06:00:00,0.6151,0.211,0.1739
2021-02-01 07:00:00,0.6141,0.281,0.1049
2021-02-01 08:00:00,0.5329,0.3792,0.0879
2021-02-01 09:00:00,0.4409,0.4601,0.099
2021-02-01 10:00:00,0.3795,0.5133,0.1072
2021-02-01 11:00:00,0.3022,0.5786,0.1192
2021-02-01 12:00:00,0.2435,0.6276,0.1289
2021-02-01 13:00:00,0.22,0.6479,0.1321
2021-02-01 14:00:00,0.1716,0.688,0.1405
2021-02-01 15:00:00,0.1572,0.6976,0.1452
2021-02-01 16:00:00,0.3017,0.5741,0.1242
2021-02-01 17:00:00,0.4132,0.4566,0.1302
2021-02-01 18:00:00,0.4801,0.3386,0.1814
2021-02-01 19:00:00,0.5107,0.3097,0.1796
2021-02-01 20:00:00,0.5297,0.2904,0.1799
2021-02-01 21:00:00,0.5486,0.2692,0.1822
2021-02-01 22:00:00,0.5424,0.2575,0.2001
2021-02-01 23:00:00,0.5186,0.2559,0.2254
2021-02-02 00:00:00,0.4706,0.2607,0.2687
2021-02-02 01:00:00,0.4958,0.2375,0.2668
2021-02-02 02:00:00,0.5059,0.2252,0.2689
2021-02-02 03:00:00,0.5025,0.2207,0.2769
2021-02-02 04:00:00,0.5249,0.2223,0.2528
2021-02-02 05:00:00,0.5598,0.2331,0.207
2021-02-02 06:00:00,0.5983,0.2394,0.1623
2021-02-02 07:00:00,0.6093,0.2931,0.0976
2021-02-02 08:00:00,0.5198,0.3936,0.0866
2021-02-02 09:00:00,0.4238,0.4769,0.0993
2021-02-02 10:00:00,0.3468,0.5435,0.1096
2021-02-02 11:00:00,0.2741,0.6045,0.1214
2021-02-02 12:00:00,0.221,0.6491,0.1299
2021-02-02 13:00:00,0.1801,0.6849,0.135
2021-02-02 14:00:00,0.1357,0.7221,0.1423
2021-02-02 15:00:00,0.1475,0.7086,0.1439
2021-02-02 16:00:00,0.3034,0.5741,0.1224
2021-02-02 17:00:00,0.4108,0.4604,0.1288
2021-02-02 18:00:00,0.4522,0.3605,0.1873
2021-02-02 19:00:00,0.4963,0.3199,0.1838
2021-02-02 20:00:00,0.5166,0.2992,0.1843
2021-02-02 21:00:00,0.5329,0.2777,0.1894
2021-02-02 22:00:00,0.5166,0.2724,0.211
2021-02-02 23:00:00,0.5062,0.2594,0.2344
2021-02-03 00:00:00,0.4548,0.2674,0.2778
2021-02-03 01:00:00,0.4742,0.2459,0.2799
2021-02-03 02:00:00,0.4783,0.2364,0.2852
2021-02-03 03:00:00,0.4806,0.2287,0.2907
2021-02-03 04:00:00,0.5039,0.231,0.2651
2021-02-03 05:00:00,0.5395,0.243,0.2175
2021-02-03 06:00:00,0.5733,0.2538,0.173
2021-02-03 07:00:00,0.5805,0.3143,0.1052
2021-02-03 08:00:00,0.4871,0.4202,0.0926
2021-02-03 09:00:00,0.381,0.5122,0.1069
2021-02-03 10:00:00,0.2937,0.5876,0.1187
2021-02-03 11:00:00,0.2351,0.637,0.1279
2021-02-03 12:00:00,0.1824,0.6818,0.1358
2021-02-03 13:00:00,0.1311,0.7268,0.1421
2021-02-03 14:00:00,0.0821,0.7677,0.1502
2021-02-03 15:00:00,0.096,0.7523,0.1516
2021-02-03 16:00:00,0.2435,0.6244,0.1322
2021-02-03 17:00:00,0.3488,0.5103,0.1409
2021-02-03 18:00:00,0.3959,0.399,0.205
2021-02-03 19:00:00,0.4356,0.3588,0.2056
