ts,res,bus,oth
2021-02-01 00:00:00,0.0181,0.1329,0.8491
2021-02-01 01:00:00,0.0169,0.1281,0.855
2021-02-01 02:00:00,0.0171,0.1281,0.8548
2021-02-01 03:00:00,0.0188,0.1282,0.853
2021-02-01 04:00:00,0.0219,0.1574,0.8207
2021-02-01 05:00:00,0.0293,0.2071,0.7636
2021-02-01 06:00:00,0.0353,0.2772,0.6874
2021-02-01 07:00:00,0.0394,0.3752,0.5854
2021-02-01 08:00:00,0.037,0.5593,0.4037
2021-02-01 09:00:00,0.0249,0.5906,0.3846
2021-02-01 10:00:00,0.0153,0.6033,0.3813
2021-02-01 11:00:00,0.0115,0.6096,0.379
2021-02-01 12:00:00,0.0095,0.6101,0.3803
2021-02-01 13:00:00,0.0063,0.6144,0.3793
2021-02-01 14:00:00,0.0052,0.6151,0.3797
2021-02-01 15:00:00,0.004,0.6125,0.3835
2021-02-01 16:00:00,0.0093,0.5983,0.3923
2021-02-01 17:00:00,0.0212,0.5745,0.4043
2021-02-01 18:00:00,0.0248,0.4232,0.552
2021-02-01 19:00:00,0.0268,0.3542,0.619
2021-02-01 20:00:00,0.0312,0.3427,0.6261
2021-02-01 21:00:00,0.0325,0.3262,0.6413
2021-02-01 22:00:00,0.0275,0.3023,0.6702
2021-02-01 23:00:00,0.0214,0.2843,0.6943
2021-02-02 00:00:00,0.017,0.2593,0.7237
2021-02-02 01:00:00,0.0154,0.2455,0.7391
2021-02-02 02:00:00,0.0159,0.2347,0.7494
2021-02-02 03:00:00,0.0171,0.2261,0.7568
2021-02-02 04:00:00,0.0184,0.2359,0.7457
2021-02-02 05:00:00,0.025,0.2691,0.7059
2021-02-02 06:00:00,0.0308,0.3148,0.6544
2021-02-02 07:00:00,0.0336,0.3991,0.5674
2021-02-02 08:00:00,0.0311,0.5735,0.3954
2021-02-02 09:00:00,0.0202,0.5993,0.3805
2021-02-02 10:00:00,0.0117,0.6105,0.3779
2021-02-02 11:00:00,0.0069,0.6149,0.3781
2021-02-02 12:00:00,0.0054,0.6158,0.3789
2021-02-02 13:00:00,0.0029,0.6217,0.3754
2021-02-02 14:00:00,0.001,0.6246,0.3744
2021-02-02 15:00:00,0.0004,0.6194,0.3802
2021-02-02 16:00:00,0.003,0.6052,0.3918
2021-02-02 17:00:00,0.0118,0.5798,0.4083
2021-02-02 18:00:00,0.0148,0.4343,0.5509
2021-02-02 19:00:00,0.0181,0.358,0.6239
2021-02-02 20:00:00,0.0224,0.343,0.6346
2021-02-02 21:00:00,0.0234,0.3233,0.6533
2021-02-02 22:00:00,0.0206,0.3012,0.6782
2021-02-02 23:00:00,0.0168,0.2766,0.7067
2021-02-03 00:00:00,0.0073,0.2574,0.7352
2021-02-03 01:00:00,0.0058,0.243,0.7511
2021-02-03 02:00:00,0.006,0.2321,0.7619
2021-02-03 03:00:00,0.0064,0.2241,0.7695
2021-02-03 04:00:00,0.0087,0.2332,0.7581
2021-02-03 05:00:00,0.0138,0.268,0.7182
2021-02-03 06:00:00,0.0221,0.3137,0.6643
2021-02-03 07:00:00,0.025,0.4003,0.5748
2021-02-03 08:00:00,0.0208,0.578,0.4011
2021-02-03 09:00:00,0.0119,0.6031,0.385
2021-02-03 10:00:00,0.0064,0.6149,0.3786
2021-02-03 11:00:00,0.0063,0.6177,0.376
2021-02-03 12:00:00,0.005,0.6191,0.3759
2021-02-03 13:00:00,0.0043,0.6251,0.3706
2021-02-03 14:00:00,0.0039,0.6276,0.3685
2021-02-03 15:00:00,0.0039,0.6219,0.3741
2021-02-03 16:00:00,0.0093,0.6053,0.3854
2021-02-03 17:00:00,0.0198,0.5788,0.4014
2021-02-03 18:00:00,0.0195,0.4393,0.5412
2021-02-03 19:00:00,0.0195,0.361,0.6194
2021-02-03 20:00:00,0.0225,0.3466,0.6309
2021-02-03 21:00:00,0.0224,0.327,0.6506
2021-02-03 22:00:00,0.0186,0.3039,0.6775
2021-02-03 23:00:00,0.0135,0.2777,0.7088
2021-02-04 00:00:00,0.0086,0.2571,0.7342
2021-02-04 01:00:00,0.0063,0.243,0.7507
2021-02-04 02:00:00,0.0061,0.2305,0.7634
2021-02-04 03:00:00,0.0071,0.2218,0.7711
2021-02-04 04:00:00,0.0085,0.2327,0.7589
2021-02-04 05:00:00,0.0153,0.267,0.7177
2021-02-04 06:00:00,0.0222,0.313,0.6647
2021-02-04 07:00:00,0.025,0.4028,0.5722
2021-02-04 08:00:00,0.0227,0.5779,0.3994
2021-02-04 09:00:00,0.0123,0.6024,0.3853
2021-02-04 10:00:00,0.008,0.6118,0.3801
2021-02-04 11:00:00,0.0058,0.6162,0.3781
2021-02-04 12:00:00,0.0046,0.6182,0.3772
2021-02-04 13:00:00,0.003,0.6237,0.3733
2021-02-04 14:00:00,0.0018,0.6259,0.3723
2021-02-04 15:00:00,0.0026,0.6193,0.3781
2021-02-04 16:00:00,0.0067,0.6035,0.3897
2021-02-04 17:00:00,0.0179,0.5767,0.4055
2021-02-04 18:00:00,0.0199,0.4367,0.5433
2021-02-04 19:00:00,0.0216,0.3582,0.6202
2021-02-04 20:00:00,0.0256,0.3432,0.6312
2021-02-04 21:00:00,0.0275,0.3236,0.6488
2021-02-04 22:00:00,0.0238,0.3014,0.6749
2021-02-04 23:00:00,0.02,0.2765,0.7035
2021-02-05 00:00:00,0.013,0.2709,0.7161
2021-02-05 01:00:00,0.0115,0.2589,0.7296
2021-02-05 02:00:00,0.0122,0.246,0.7418
2021-02-05 03:00:00,0.0126,0.2356,0.7518
2021-02-05 04:00:00,0.0147,0.2415,0.7438
2021-02-05 05:00:00,0.0217,0.275,0.7033
2021-02-05 06:00:00,0.027,0.3238,0.6492
2021-02-05 07:00:00,0.0311,0.4076,0.5613
2021-02-05 08:00:00,0.0285,0.5786,0.3929
2021-02-05 09:00:00,0.0187,0.6003,0.381
2021-02-05 10:00:00,0.0099,0.6163,0.3738
2021-02-05 11:00:00,0.0068,0.6165,0.3767
2021-02-05 12:00:00,0.0055,0.6166,0.3779
2021-02-05 13:00:00,0.0044,0.6179,0.3777
2021-02-05 14:00:00,0.0024,0.6164,0.3811
2021-02-05 15:00:00,0.0016,0.608,0.3904
2021-02-05 16:00:00,0.0038,0.5934,0.4028
2021-02-05 17:00:00,0.0131,0.5678,0.4192
2021-02-05 18:00:00,0.0165,0.4205,0.563
2021-02-05 19:00:00,0.0172,0.3378,0.6449
2021-02-05 20:00:00,0.0204,0.326,0.6536
2021-02-05 21:00:00,0.0207,0.3075,0.6718
2021-02-05 22:00:00,0.0189,0.28,0.7011
2021-02-05 23:00:00,0.0176,0.2385,0.7439
2021-02-06 00:00:00,0.0183,0.1862,0.7955
2021-02-06 01:00:00,0.0168,0.1704,0.8128
2021-02-06 02:00:00,0.016,0.1574,0.8266
2021-02-06 03:00:00,0.0172,0.1396,0.8431
2021-02-06 04:00:00,0.0187,0.1321,0.8492
2021-02-06 05:00:00,0.0227,0.1476,0.8297
2021-02-06 06:00:00,0.0242,0.1741,0.8017
2021-02-06 07:00:00,0.0329,0.2183,0.7488
2021-02-06 08:00:00,0.048,0.3538,0.5982
2021-02-06 09:00:00,0.0362,0.3743,0.5895
2021-02-06 10:00:00,0.0273,0.3822,0.5905
2021-02-06 11:00:00,0.0228,0.3778,0.5994
2021-02-06 12:00:00,0.0197,0.3693,0.6111
2021-02-06 13:00:00,0.0166,0.3674,0.616
2021-02-06 14:00:00,0.014,0.3664,0.6196
2021-02-06 15:00:00,0.0133,0.3586,0.6281
2021-02-06 16:00:00,0.0175,0.3515,0.6311
2021-02-06 17:00:00,0.0299,0.3486,0.6215
2021-02-06 18:00:00,0.0267,0.2532,0.7201
2021-02-06 19:00:00,0.0254,0.1913,0.7832
2021-02-06 20:00:00,0.0291,0.1797,0.7911
2021-02-06 21:00:00,0.0309,0.1618,0.8073
2021-02-06 22:00:00,0.0289,0.1342,0.8369
2021-02-06 23:00:00,0.0267,0.1033,0.87
2021-02-07 00:00:00,0.027,0.0486,0.9244
2021-02-07 01:00:00,0.0256,0.0406,0.9338
2021-02-07 02:00:00,0.0243,0.0371,0.9387
2021-02-07 03:00:00,0.0257,0.0293,0.945
2021-02-07 04:00:00,0.0266,0.0328,0.9406
2021-02-07 05:00:00,0.0296,0.0431,0.9273
2021-02-07 06:00:00,0.0313,0.0641,0.9046
2021-02-07 07:00:00,0.0427,0.0794,0.8779
2021-02-07 08:00:00,0.0753,0.1315,0.7932
2021-02-07 09:00:00,0.0619,0.1474,0.7907
2021-02-07 10:00:00,0.0404,0.1739,0.7857
2021-02-07 11:00:00,0.0291,0.1966,0.7743
2021-02-07 12:00:00,0.0246,0.213,0.7624
2021-02-07 13:00:00,0.0203,0.2225,0.7573
2021-02-07 14:00:00,0.0171,0.2338,0.7491
2021-02-07 15:00:00,0.0157,0.2452,0.739
2021-02-07 16:00:00,0.0172,0.2669,0.7158
2021-02-07 17:00:00,0.0293,0.2677,0.703
2021-02-07 18:00:00,0.0268,0.1843,0.7889
2021-02-07 19:00:00,0.0253,0.133,0.8417
2021-02-07 20:00:00,0.0287,0.1252,0.8461
2021-02-07 21:00:00,0.0293,0.1202,0.8505
2021-02-07 22:00:00,0.0257,0.1164,0.8579
2021-02-07 23:00:00,0.0213,0.1167,0.862
2021-02-08 00:00:00,0.0158,0.1311,0.8531
2021-02-08 01:00:00,0.0137,0.1253,0.861
2021-02-08 02:00:00,0.0138,0.1258,0.8605
2021-02-08 03:00:00,0.0147,0.1256,0.8596
2021-02-08 04:00:00,0.0168,0.1555,0.8276
2021-02-08 05:00:00,0.0227,0.2053,0.772
2021-02-08 06:00:00,0.0281,0.2765,0.6953
2021-02-08 07:00:00,0.0321,0.3857,0.5821
2021-02-08 08:00:00,0.0293,0.5673,0.4033
2021-02-08 09:00:00,0.0187,0.5915,0.3898
2021-02-08 10:00:00,0.0102,0.6032,0.3866
2021-02-08 11:00:00,0.0068,0.6098,0.3835
2021-02-08 12:00:00,0.0059,0.6104,0.3837
2021-02-08 13:00:00,0.0033,0.6156,0.3811
2021-02-08 14:00:00,0.0017,0.617,0.3813
2021-02-08 15:00:00,0.0005,0.6146,0.3849
2021-02-08 16:00:00,0.0031,0.6023,0.3945
2021-02-08 17:00:00,0.0118,0.5788,0.4094
2021-02-08 18:00:00,0.0159,0.4424,0.5416
2021-02-08 19:00:00,0.018,0.3551,0.6269
2021-02-08 20:00:00,0.0216,0.343,0.6353
2021-02-08 21:00:00,0.0221,0.326,0.6519
2021-02-08 22:00:00,0.0185,0.3012,0.6803
2021-02-08 23:00:00,0.0136,0.2819,0.7046
2021-02-09 00:00:00,0.0168,0.2562,0.727
2021-02-09 01:00:00,0.0158,0.2436,0.7405
2021-02-09 02:00:00,0.0168,0.2337,0.7495
2021-02-09 03:00:00,0.0183,0.2248,0.757
2021-02-09 04:00:00,0.0203,0.2337,0.746
2021-02-09 05:00:00,0.0275,0.2667,0.7057
2021-02-09 06:00:00,0.0339,0.3127,0.6534
2021-02-09 07:00:00,0.0375,0.4055,0.5571
2021-02-09 08:00:00,0.0344,0.5765,0.3891
2021-02-09 09:00:00,0.024,0.596,0.38
2021-02-09 10:00:00,0.0145,0.6081,0.3774
2021-02-09 11:00:00,0.0102,0.6118,0.378
2021-02-09 12:00:00,0.008,0.6126,0.3794
2021-02-09 13:00:00,0.006,0.6178,0.3762
2021-02-09 14:00:00,0.0036,0.6215,0.3749
2021-02-09 15:00:00,0.0026,0.616,0.3813
2021-02-09 16:00:00,0.0049,0.6017,0.3934
2021-02-09 17:00:00,0.0165,0.5748,0.4086
2021-02-09 18:00:00,0.0204,0.4487,0.5309
2021-02-09 19:00:00,0.022,0.3561,0.6219
2021-02-09 20:00:00,0.027,0.3418,0.6311
2021-02-09 21:00:00,0.0282,0.3216,0.6501
2021-02-09 22:00:00,0.0246,0.2999,0.6755
2021-02-09 23:00:00,0.02,0.276,0.704
2021-02-10 00:00:00,0.0218,0.2572,0.721
2021-02-10 01:00:00,0.0214,0.2445,0.7341
2021-02-10 02:00:00,0.0224,0.2322,0.7454
2021-02-10 03:00:00,0.0235,0.2239,0.7526
2021-02-10 04:00:00,0.0246,0.2348,0.7407
