ts,res,bus,oth
2021-02-01 00:00:00,0.6594,0.2264,0.1142
2021-02-01 01:00:00,0.6781,0.2111,0.1108
2021-02-01 02:00:00,0.6821,0.208,0.1099
2021-02-01 03:00:00,0.7074,0.1901,0.1025
2021-02-01 04:00:00,0.6859,0.221,0.093
2021-02-01 05:00:00,0.6674,0.2599,0.0728
2021-02-01 06:00:00,0.6672,0.2826,0.0502
2021-02-01 07:00:00,0.6072,0.3604,0.0323
2021-02-01 08:00:00,0.5274,0.4503,0.0223
2021-02-01 09:00:00,0.4322,0.5425,0.0252
2021-02-01 10:00:00,0.34,0.6313,0.0287
2021-02-01 11:00:00,0.2659,0.7024,0.0317
2021-02-01 12:00:00,0.224,0.7427,0.0334
2021-02-01 13:00:00,0.197,0.7688,0.0342
2021-02-01 14:00:00,0.1526,0.8111,0.0363
2021-02-01 15:00:00,0.1554,0.8077,0.0369
2021-02-01 16:00:00,0.2776,0.6893,0.0331
2021-02-01 17:00:00,0.4249,0.542,0.0332
2021-02-01 18:00:00,0.473,0.4732,0.0539
2021-02-01 19:00:00,0.5045,0.4402,0.0553
2021-02-01 20:00:00,0.5434,0.4036,0.053
2021-02-01 21:00:00,0.5513,0.3926,0.0561
2021-02-01 22:00:00,0.5508,0.3858,0.0634
2021-02-01 23:00:00,0.5155,0.4094,0.0751
2021-02-02 00:00:00,0.4877,0.4223,0.09
2021-02-02 01:00:00,0.4965,0.4093,0.0942
2021-02-02 02:00:00,0.5105,0.3934,0.0962
2021-02-02 03:00:00,0.5433,0.3627,0.0941
2021-02-02 04:00:00,0.555,0.3567,0.0883
2021-02-02 05:00:00,0.558,0.3693,0.0726
2021-02-02 06:00:00,0.6043,0.3446,0.051
2021-02-02 07:00:00,0.5566,0.4101,0.0333
2021-02-02 08:00:00,0.4769,0.4994,0.0237
2021-02-02 09:00:00,0.361,0.6112,0.0278
2021-02-02 10:00:00,0.2568,0.7116,0.0316
2021-02-02 11:00:00,0.2034,0.7628,0.0338
2021-02-02 12:00:00,0.1692,0.7956,0.0352
2021-02-02 13:00:00,0.1401,0.824,0.0359
2021-02-02 14:00:00,0.1182,0.8451,0.0368
2021-02-02 15:00:00,0.1146,0.8475,0.0379
2021-02-02 16:00:00,0.227,0.7378,0.0352
2021-02-02 17:00:00,0.3644,0.5992,0.0364
2021-02-02 18:00:00,0.4242,0.5182,0.0577
2021-02-02 19:00:00,0.4665,0.4737,0.0598
2021-02-02 20:00:00,0.5108,0.4318,0.0575
2021-02-02 21:00:00,0.5262,0.4136,0.0602
2021-02-02 22:00:00,0.5192,0.4122,0.0686
2021-02-02 23:00:00,0.4907,0.4277,0.0816
2021-02-03 00:00:00,0.4635,0.4405,0.0959
2021-02-03 01:00:00,0.4823,0.4193,0.0985
2021-02-03 02:00:00,0.5035,0.397,0.0994
2021-02-03 03:00:00,0.5321,0.3693,0.0986
2021-02-03 04:00:00,0.5485,0.36,0.0915
2021-02-03 05:00:00,0.5519,0.3731,0.075
2021-02-03 06:00:00,0.5896,0.3568,0.0537
2021-02-03 07:00:00,0.5403,0.4251,0.0346
2021-02-03 08:00:00,0.4471,0.5275,0.0254
2021-02-03 09:00:00,0.3236,0.6467,0.0297
2021-02-03 10:00:00,0.2227,0.7439,0.0333
2021-02-03 11:00:00,0.1745,0.7902,0.0352
2021-02-03 12:00:00,0.1341,0.8291,0.0368
2021-02-03 13:00:00,0.1109,0.8518,0.0373
2021-02-03 14:00:00,0.0708,0.8904,0.0388
2021-02-03 15:00:00,0.053,0.9064,0.0406
2021-02-03 16:00:00,0.1454,0.8158,0.0388
2021-02-03 17:00:00,0.2787,0.6805,0.0408
2021-02-03 18:00:00,0.355,0.5805,0.0644
2021-02-03 19:00:00,0.3987,0.5339,0.0674
2021-02-03 20:00:00,0.4384,0.4956,0.066
2021-02-03 21:00:00,0.4585,0.4726,0.069
2021-02-03 22:00:00,0.4422,0.4778,0.08
2021-02-03 23:00:00,0.3949,0.5072,0.098
2021-02-04 00:00:00,0.3499,0.5361,0.114
2021-02-04 01:00:00,0.3092,0.5612,0.1296
2021-02-04 02:00:00,0.2947,0.5652,0.1402
2021-02-04 03:00:00,0.3179,0.5392,0.1429
2021-02-04 04:00:00,0.3447,0.5225,0.1328
2021-02-04 05:00:00,0.3574,0.5346,0.108
