ts,res,bus,oth
2021-02-01 00:00:00,0.6004,0.1814,0.2182
2021-02-01 01:00:00,0.5897,0.1813,0.229
2021-02-01 02:00:00,0.6011,0.1779,0.221
2021-02-01 03:00:00,0.6048,0.1803,0.215
2021-02-01 04:00:00,0.592,0.2215,0.1866
2021-02-01 05:00:00,0.5983,0.2578,0.144
2021-02-01 06:00:00,0.5816,0.3134,0.105
2021-02-01 07:00:00,0.5815,0.3588,0.0598
2021-02-01 08:00:00,0.5149,0.4424,0.0427
2021-02-01 09:00:00,0.425,0.5273,0.0478
2021-02-01 10:00:00,0.3176,0.627,0.0554
2021-02-01 11:00:00,0.2469,0.6925,0.0606
2021-02-01 12:00:00,0.204,0.732,0.064
2021-02-01 13:00:00,0.1619,0.7714,0.0667
2021-02-01 14:00:00,0.1281,0.8021,0.0698
2021-02-01 15:00:00,0.1369,0.7922,0.071
2021-02-01 16:00:00,0.254,0.6808,0.0652
2021-02-01 17:00:00,0.4075,0.529,0.0635
2021-02-01 18:00:00,0.4808,0.424,0.0952
2021-02-01 19:00:00,0.5111,0.3901,0.0988
2021-02-01 20:00:00,0.5377,0.3646,0.0977
2021-02-01 21:00:00,0.5469,0.3507,0.1025
2021-02-01 22:00:00,0.5286,0.3524,0.119
2021-02-01 23:00:00,0.5162,0.3489,0.1349
2021-02-02 00:00:00,0.4746,0.357,0.1684
2021-02-02 01:00:00,0.4734,0.3487,0.1779
2021-02-02 02:00:00,0.49,0.3305,0.1795
2021-02-02 03:00:00,0.5094,0.3131,0.1775
2021-02-02 04:00:00,0.52,0.3163,0.1637
2021-02-02 05:00:00,0.5338,0.3318,0.1345
2021-02-02 06:00:00,0.5446,0.3531,0.1023
2021-02-02 07:00:00,0.5494,0.3906,0.06
2021-02-02 08:00:00,0.473,0.4815,0.0454
2021-02-02 09:00:00,0.3655,0.5821,0.0524
2021-02-02 10:00:00,0.2486,0.6908,0.0606
2021-02-02 11:00:00,0.1868,0.7478,0.0654
2021-02-02 12:00:00,0.1502,0.7817,0.0681
2021-02-02 13:00:00,0.1109,0.8191,0.0701
2021-02-02 14:00:00,0.0832,0.8446,0.0722
2021-02-02 15:00:00,0.0852,0.8406,0.0743
2021-02-02 16:00:00,0.203,0.728,0.0689
2021-02-02 17:00:00,0.3326,0.5971,0.0703
2021-02-02 18:00:00,0.4084,0.4848,0.1068
2021-02-02 19:00:00,0.4441,0.4432,0.1127
2021-02-02 20:00:00,0.4703,0.4163,0.1134
2021-02-02 21:00:00,0.4818,0.3982,0.12
2021-02-02 22:00:00,0.4588,0.4011,0.1401
2021-02-02 23:00:00,0.4212,0.4094,0.1694
2021-02-03 00:00:00,0.4191,0.3958,0.1851
2021-02-03 01:00:00,0.4167,0.3874,0.1959
2021-02-03 02:00:00,0.4353,0.367,0.1977
2021-02-03 03:00:00,0.4556,0.3482,0.1962
2021-02-03 04:00:00,0.4677,0.3516,0.1807
2021-02-03 05:00:00,0.4909,0.363,0.1462
2021-02-03 06:00:00,0.5133,0.3782,0.1085
2021-02-03 07:00:00,0.5228,0.4146,0.0626
2021-02-03 08:00:00,0.4414,0.5107,0.0479
2021-02-03 09:00:00,0.3243,0.6203,0.0554
2021-02-03 10:00:00,0.2053,0.7312,0.0634
2021-02-03 11:00:00,0.1526,0.7804,0.067
2021-02-03 12:00:00,0.1147,0.8159,0.0695
2021-02-03 13:00:00,0.0772,0.8518,0.071
2021-02-03 14:00:00,0.0631,0.8651,0.0718
2021-02-03 15:00:00,0.0573,0.8684,0.0743
2021-02-03 16:00:00,0.1619,0.7682,0.0699
2021-02-03 17:00:00,0.2861,0.6421,0.0718
2021-02-03 18:00:00,0.372,0.5182,0.1099
2021-02-03 19:00:00,0.4109,0.4724,0.1167
2021-02-03 20:00:00,0.4385,0.4435,0.118
2021-02-03 21:00:00,0.4441,0.4293,0.1266
2021-02-03 22:00:00,0.421,0.431,0.1481
2021-02-03 23:00:00,0.3561,0.4564,0.1875
2021-02-04 00:00:00,0.2669,0.4981,0.235
2021-02-04 01:00:00,0.2282,0.5089,0.2629
2021-02-04 02:00:00,0.2194,0.5009,0.2797
2021-02-04 03:00:00,0.2163,0.4922,0.2915
2021-02-04 04:00:00,0.235,0.4938,0.2712
2021-02-04 05:00:00,0.3038,0.4878,0.2085
2021-02-04 06:00:00,0.3637,0.4907,0.1456
2021-02-04 07:00:00,0.3979,0.5223,0.0798
2021-02-04 08:00:00,0.3208,0.6212,0.058
2021-02-04 09:00:00,0.2026,0.7326,0.0648
2021-02-04 10:00:00,0.1341,0.7978,0.0681
2021-02-04 11:00:00,0.1182,0.8132,0.0686
2021-02-04 12:00:00,0.1159,0.8156,0.0685
2021-02-04 13:00:00,0.1123,0.8201,0.0675
2021-02-04 14:00:00,0.0995,0.832,0.0685
2021-02-04 15:00:00,0.119,0.8119,0.0691
2021-02-04 16:00:00,0.2314,0.7043,0.0643
2021-02-04 17:00:00,0.3599,0.5759,0.0642
2021-02-04 18:00:00,0.4347,0.4664,0.099
2021-02-04 19:00:00,0.4695,0.4251,0.1054
2021-02-04 20:00:00,0.4949,0.399,0.1061
2021-02-04 21:00:00,0.5133,0.3764,0.1103
2021-02-04 22:00:00,0.5013,0.3727,0.1259
2021-02-04 23:00:00,0.4795,0.373,0.1475
2021-02-05 00:00:00,0.4321,0.3966,0.1713
2021-02-05 01:00:00,0.4218,0.3954,0.1828
2021-02-05 02:00:00,0.4361,0.3758,0.1881
2021-02-05 03:00:00,0.4566,0.356,0.1874
2021-02-05 04:00:00,0.479,0.3498,0.1712
2021-02-05 05:00:00,0.4939,0.3651,0.141
2021-02-05 06:00:00,0.5135,0.381,0.1055
2021-02-05 07:00:00,0.5271,0.4125,0.0603
2021-02-05 08:00:00,0.4695,0.4854,0.0451
2021-02-05 09:00:00,0.3773,0.5718,0.0509
2021-02-05 10:00:00,0.2792,0.6637,0.057
2021-02-05 11:00:00,0.2196,0.7182,0.0623
2021-02-05 12:00:00,0.1891,0.7461,0.0648
2021-02-05 13:00:00,0.1649,0.7682,0.067
2021-02-05 14:00:00,0.1322,0.7964,0.0714
2021-02-05 15:00:00,0.1385,0.7873,0.0741
2021-02-05 16:00:00,0.2452,0.6854,0.0693
2021-02-05 17:00:00,0.3814,0.5517,0.0669
2021-02-05 18:00:00,0.4471,0.4483,0.1047
2021-02-05 19:00:00,0.4632,0.42,0.1168
2021-02-05 20:00:00,0.4871,0.396,0.117
2021-02-05 21:00:00,0.4946,0.382,0.1234
2021-02-05 22:00:00,0.501,0.3609,0.1382
2021-02-05 23:00:00,0.5213,0.3203,0.1584
2021-02-06 00:00:00,0.541,0.2699,0.1891
2021-02-06 01:00:00,0.5348,0.2588,0.2064
2021-02-06 02:00:00,0.5348,0.2468,0.2184
2021-02-06 03:00:00,0.5506,0.224,0.2254
2021-02-06 04:00:00,0.565,0.2119,0.2231
2021-02-06 05:00:00,0.5805,0.2229,0.1966
2021-02-06 06:00:00,0.5656,0.2644,0.17
2021-02-06 07:00:00,0.6438,0.2616,0.0946
2021-02-06 08:00:00,0.6714,0.2641,0.0646
2021-02-06 09:00:00,0.6135,0.3134,0.0731
2021-02-06 10:00:00,0.5517,0.3648,0.0835
2021-02-06 11:00:00,0.5147,0.392,0.0933
2021-02-06 12:00:00,0.4812,0.4154,0.1034
2021-02-06 13:00:00,0.438,0.4476,0.1144
2021-02-06 14:00:00,0.3987,0.4758,0.1256
2021-02-06 15:00:00,0.4518,0.4265,0.1217
2021-02-06 16:00:00,0.5472,0.3455,0.1074
2021-02-06 17:00:00,0.5987,0.3025,0.0988
2021-02-06 18:00:00,0.6011,0.2621,0.1368
2021-02-06 19:00:00,0.6195,0.2357,0.1447
2021-02-06 20:00:00,0.6368,0.2186,0.1446
2021-02-06 21:00:00,0.6604,0.1936,0.146
2021-02-06 22:00:00,0.6783,0.1605,0.1613
2021-02-06 23:00:00,0.692,0.1263,0.1818
2021-02-07 00:00:00,0.7565,0.0506,0.1929
2021-02-07 01:00:00,0.7565,0.041,0.2024
2021-02-07 02:00:00,0.761,0.0383,0.2007
2021-02-07 03:00:00,0.7675,0.0315,0.201
2021-02-07 04:00:00,0.7644,0.0434,0.1922
2021-02-07 05:00:00,0.7692,0.0581,0.1727
2021-02-07 06:00:00,0.7684,0.089,0.1425
2021-02-07 07:00:00,0.8273,0.0874,0.0854
2021-02-07 08:00:00,0.8588,0.0774,0.0638
2021-02-07 09:00:00,0.8322,0.0928,0.075
2021-02-07 10:00:00,0.7805,0.1278,0.0917
2021-02-07 11:00:00,0.7319,0.1621,0.106
2021-02-07 12:00:00,0.6805,0.1992,0.1203
2021-02-07 13:00:00,0.6467,0.2261,0.1272
2021-02-07 14:00:00,0.5747,0.2743,0.151
2021-02-07 15:00:00,0.5965,0.2629,0.1406
2021-02-07 16:00:00,0.6321,0.2458,0.122
2021-02-07 17:00:00,0.6896,0.209,0.1014
2021-02-07 18:00:00,0.6649,0.1919,0.1432
2021-02-07 19:00:00,0.6839,0.1657,0.1504
2021-02-07 20:00:00,0.6992,0.1508,0.1499
2021-02-07 21:00:00,0.6872,0.1507,0.1621
2021-02-07 22:00:00,0.6795,0.1402,0.1802
2021-02-07 23:00:00,0.64,0.1511,0.2088
2021-02-08 00:00:00,0.5591,0.1994,0.2415
2021-02-08 01:00:00,0.5391,0.2013,0.2596
2021-02-08 02:00:00,0.5396,0.2014,0.259
2021-02-08 03:00:00,0.5243,0.2105,0.2652
2021-02-08 04:00:00,0.4952,0.266,0.2388
2021-02-08 05:00:00,0.5146,0.3057,0.1798
2021-02-08 06:00:00,0.4881,0.3817,0.1302
2021-02-08 07:00:00,0.5089,0.4237,0.0675
2021-02-08 08:00:00,0.4345,0.5152,0.0502
2021-02-08 09:00:00,0.3502,0.5953,0.0545
2021-02-08 10:00:00,0.2698,0.6705,0.0597
2021-02-08 11:00:00,0.2324,0.7055,0.062
2021-02-08 12:00:00,0.2072,0.7288,0.064
2021-02-08 13:00:00,0.172,0.7619,0.0661
