ts,res,bus,oth
2021-02-01 00:00:00,0.2601,0.2536,0.4863
2021-02-01 01:00:00,0.2449,0.2437,0.5114
2021-02-01 02:00:00,0.2147,0.2452,0.5401
2021-02-01 03:00:00,0.1526,0.2605,0.5868
2021-02-01 04:00:00,0.213,0.2839,0.5031
2021-02-01 05:00:00,0.299,0.3182,0.3828
2021-02-01 06:00:00,0.4108,0.3279,0.2613
2021-02-01 07:00:00,0.4393,0.4063,0.1544
2021-02-01 08:00:00,0.4106,0.4796,0.1098
2021-02-01 09:00:00,0.2647,0.6062,0.1291
2021-02-01 10:00:00,0.1547,0.7011,0.1442
2021-02-01 11:00:00,0.1333,0.7213,0.1454
2021-02-01 12:00:00,0.1112,0.7411,0.1476
2021-02-01 13:00:00,0.0384,0.8036,0.158
2021-02-01 14:00:00,0.0588,0.7877,0.1535
2021-02-01 15:00:00,0.0229,0.8162,0.1609
2021-02-01 16:00:00,0.1363,0.7163,0.1474
2021-02-01 17:00:00,0.2634,0.6001,0.1365
2021-02-01 18:00:00,0.3355,0.465,0.1996
2021-02-01 19:00:00,0.3757,0.4095,0.2148
2021-02-01 20:00:00,0.405,0.3831,0.2119
2021-02-01 21:00:00,0.408,0.3689,0.2231
2021-02-01 22:00:00,0.4034,0.3544,0.2422
2021-02-01 23:00:00,0.3409,0.3745,0.2846
2021-02-02 00:00:00,0.3267,0.3584,0.3149
2021-02-02 01:00:00,0.3132,0.3525,0.3343
2021-02-02 02:00:00,0.3107,0.3417,0.3476
2021-02-02 03:00:00,0.3049,0.3344,0.3608
2021-02-02 04:00:00,0.3601,0.3145,0.3253
2021-02-02 05:00:00,0.405,0.3246,0.2704
2021-02-02 06:00:00,0.4795,0.3155,0.2051
2021-02-02 07:00:00,0.512,0.3639,0.1241
2021-02-02 08:00:00,0.4434,0.4575,0.0991
2021-02-02 09:00:00,0.2966,0.584,0.1194
2021-02-02 10:00:00,0.1989,0.6685,0.1325
2021-02-02 11:00:00,0.1466,0.7135,0.1399
2021-02-02 12:00:00,0.0908,0.7614,0.1479
2021-02-02 13:00:00,0.0651,0.7857,0.1491
2021-02-02 14:00:00,0.0391,0.8092,0.1516
