busid,latitude,longitude,zip,fips
3001001,31.9067,-102.262,79765,48329
3001002,29.888,-104.519,-1,48377
3001003,32.9264,-101.648,79351,48033
3001004,32.9264,-101.648,79351,48033
3001005,32.2075,-101.388,-1,48227
3001006,32.2075,-101.388,-1,48227
3001007,31.0935,-104.625,-1,48109
3001008,30.9315,-102.201,-1,48371
3001009,30.9315,-102.201,-1,48371
3001010,29.6,-104.3,-1,48377
3001011,29.6,-104.3,-1,48377
3001012,30.0281,-101.97,-1,48443
3001013,31.4846,-103.161,-1,48475
3001014,31.1695,-103.085,-1,48371
3001015,30.2853,-104.006,79843,48377
3001016,31.7631,-101.502,79739,48173
3001017,31.7252,-102.414,-1,48135
3001018,31.7992,-102.633,-1,48135
3001019,31.9794,-102.132,79703,48329
3001020,31.9925,-101.117,-1,48431
3001021,31.9925,-101.117,-1,48431
3001022,32.929,-101.579,79738,48033
3001023,32.929,-101.579,79738,48033
3001024,31.9693,-102.631,-1,48135
3001025,32.039,-101.22,-1,48431
3001026,32.039,-101.22,-1,48431
3001027,32.3217,-102.042,-1,48317
3001028,32.8795,-101.247,79517,48033
3001029,31.9924,-102.081,79701,48329
3001030,29.8021,-103.222,-1,48043
3001031,31.005,-103.759,79718,48389
3001032,31.2092,-102.242,-1,48461
3001033,31.2092,-102.242,-1,48461
3001034,31.9914,-101.303,79739,48173
3001035,31.9914,-101.303,79739,48173
3001036,31.1869,-102.596,-1,48371
3001037,31.7992,-102.474,79763,48135
3001038,30.7726,-102.506,-1,48371
3001039,30.7726,-102.506,-1,48371
3001040,32.3357,-102.697,79714,48003
3001041,32.1408,-101.399,79720,48227
3001042,32.1408,-101.399,79720,48227
3001043,32.1408,-101.399,79720,48227
3001044,31.2726,-101.173,-1,48235
3001045,32.0536,-102.202,79706,48329
3001046,30.5756,-101.331,-1,48105
3001047,31.5839,-102.963,-1,48475
3001048,31.5839,-102.963,-1,48475
3001049,31.5839,-102.963,-1,48475
3001050,31.5839,-102.963,-1,48475
3001051,31.5839,-102.963,-1,48475
3001052,31.5839,-102.963,-1,48475
3001053,31.5839,-102.963,-1,48475
3001054,32.4898,-101.754,79713,48317
3001055,32.927,-101.764,-1,48115
3001056,32.2353,-101.837,79782,48317
3001057,32.2353,-101.837,79782,48317
3001058,30.8847,-101.921,-1,48371
3001059,30.8847,-101.921,-1,48371
3001060,30.8847,-101.921,-1,48371
3001061,32.2732,-101.422,79721,48227
3001062,32.2732,-101.422,79721,48227
3001063,32.2732,-101.422,79721,48227
3001064,32.0011,-102.312,79758,48135
3001065,32.1008,-101.451,-1,48227
3001066,32.1008,-101.451,-1,48227
3001067,32.1029,-101.365,79733,48227
3001068,31.5176,-101.918,-1,48461
3001069,30.9178,-102.087,-1,48371
3001070,30.9178,-102.087,-1,48371
3001071,31.8403,-102.326,79761,48135
3001072,31.8403,-102.326,79761,48135
3001073,31.8403,-102.326,79761,48135
3001074,31.8403,-102.326,79761,48135
3001075,31.8403,-102.326,79761,48135
3001076,31.8403,-102.326,79761,48135
3001077,31.8403,-102.326,79761,48135
3001078,31.8403,-102.326,79761,48135
3001079,31.8403,-102.326,79761,48135
3001080,31.8403,-102.326,79761,48135
3001081,31.8403,-102.326,79761,48135
3001082,30.8073,-102.356,-1,48371
3001083,30.7475,-102.791,-1,48371
3001084,31.9361,-101.298,-1,48173
3001085,31.6963,-103.139,-1,48495
3001086,31.8035,-103.6,-1,48301
3001087,30.597,-101.785,-1,48443
3001088,31.1392,-102.225,79752,48461
3001089,32.9296,-102.134,79377,48115
3001090,31.995,-102.828,-1,48495
3001091,33.6587,-101.531,-1,48107
3002001,33.6839,-95.3447,75416,48277
3002002,33.6281,-96.3676,75479,48147
3002003,33.6281,-96.3676,75479,48147
3002004,33.6281,-96.3676,75479,48147
3002005,33.6281,-96.3676,75479,48147
3002006,33.6281,-96.3676,75479,48147
3002007,33.6152,-95.9001,-1,48147
3002008,34.8573,-100.513,-1,48087
3002009,33.9733,-98.7211,76367,48485
3002010,33.8998,-99.7735,-1,48155
3002011,35.2383,-101.311,-1,48065
3002012,35.2383,-101.311,-1,48065
3002013,35.2383,-101.311,-1,48065
3002014,34.4472,-100.81,-1,48191
3002015,33.4716,-97.4452,76239,48097
3002016,33.6276,-96.7674,76268,48181
3002017,35.4275,-101.253,-1,48065
3002018,35.4275,-101.253,-1,48065
3002019,35.4275,-101.253,-1,48065
3002020,33.9438,-98.5231,76306,48485
3002021,33.6968,-95.5577,75460,48277
3002022,33.6968,-95.5577,75460,48277
3002023,33.6968,-95.5577,75460,48277
3002024,33.6968,-95.5577,75460,48277
3002025,33.8645,-98.491,76302,48485
3002026,35.8308,-100.766,-1,48393
3002027,33.4826,-95.3201,75435,48277
3002028,34.0048,-98.3888,-1,48077
3002029,34.4575,-101.287,79257,48045
3002030,33.7083,-96.2407,75476,48147
3002031,33.7107,-100.384,79236,48269
3002032,33.8579,-95.6491,75411,48277
3002033,33.4414,-96.1792,75413,48147
3002034,33.8309,-96.8398,76245,48181
3002035,33.4318,-99.8537,-1,48275
3002036,33.8949,-98.5437,76309,48485
3002037,33.6159,-97.3108,76253,48097
3002038,33.5535,-96.2829,-1,48147
3002039,33.456,-97.7518,-1,48337
3002040,33.6631,-94.9973,-1,48387
3002041,35.386,-101.579,-1,48065
3002042,35.386,-101.579,-1,48065
3002043,33.738,-96.8395,76264,48181
3002044,33.7439,-96.9361,-1,48181
3002045,33.9695,-98.509,76311,48485
3002046,33.8007,-96.726,75076,48181
3002047,33.6236,-96.4279,-1,48181
3002048,33.7745,-100.99,-1,48125
3002049,34.1317,-99.1066,76373,48487
3002050,33.4023,-95.4832,75450,48119
3002051,33.7585,-98.2023,76365,48077
3002052,34.9008,-100.995,-1,48129
3002053,33.5206,-97.9561,-1,48337
3002054,33.9133,-98.4931,76301,48485
3002055,33.9133,-98.4931,76301,48485
3002056,33.9133,-98.4931,76301,48485
3002057,33.9133,-98.4931,76301,48485
3002058,35.4789,-101.244,-1,48065
3002059,35.4789,-101.244,-1,48065
3002060,33.5768,-95.8097,75470,48277
3002061,34.29,-99.3647,76384,48487
3002062,34.29,-99.3647,76384,48487
3002063,33.7708,-96.6041,75020,48181
3002064,33.7452,-95.7443,-1,48277
3002065,33.6616,-97.1763,76240,48097
3002066,33.1831,-100.245,79502,48433
3002067,33.7991,-98.5098,-1,48009
3002068,33.5126,-98.4576,-1,48009
3002069,33.4508,-96.7422,75058,48181
3002070,33.4931,-98.5819,-1,48009
3002071,33.4931,-98.5819,-1,48009
3002072,33.5377,-96.9066,76233,48181
3002073,32.9697,-100.524,-1,48263
3002074,32.9697,-100.524,-1,48263
3002075,32.9697,-100.524,-1,48263
3002076,32.9697,-100.524,-1,48263
3002077,33.733,-97.4284,-1,48097
3002078,33.733,-97.4284,-1,48097
3002079,33.9943,-100.287,-1,48101
3002080,33.7931,-97.9638,-1,48337
3002081,33.6155,-96.0722,75438,48147
3002082,33.8625,-98.5894,76310,48485
3002083,33.8625,-98.5894,76310,48485
3002084,33.8625,-98.5894,76310,48485
3002085,33.8625,-98.5894,76310,48485
3002086,33.6269,-97.6879,76251,48337
3002087,33.3411,-100.715,79518,48263
3002088,33.4953,-98.5,-1,48009
3002089,33.4953,-98.5,-1,48009
3002090,33.4982,-94.8908,-1,48387
3002091,33.6211,-99.2438,76380,48023
3002092,33.7271,-96.4708,75021,48181
3002093,35.3503,-101.54,-1,48065
3002094,35.3503,-101.54,-1,48065
3002095,35.3503,-101.54,-1,48065
3002096,33.6611,-101.39,22357,48107
3002097,33.6611,-101.39,22357,48107
3002098,33.6611,-101.39,22357,48107
3002099,33.6611,-101.39,22357,48107
3002100,33.6611,-101.39,22357,48107
3002101,33.5826,-96.6179,-1,48181
3002102,33.5826,-96.6179,-1,48181
3002103,33.5826,-96.6179,-1,48181
3002104,33.5826,-96.6179,-1,48181
3002105,33.5826,-96.6179,-1,48181
3002106,33.4946,-96.3961,75491,48181
3002107,33.6041,-96.5504,75090,48181
3002108,33.3228,-99.6421,76388,48207
3002109,34.1033,-98.6225,76354,48485
3002110,33.6821,-97.3829,76252,48097
3002111,33.5274,-98.8848,-1,48009
3002112,34.0083,-98.2593,76377,48077
3002113,33.6308,-95.59,75460,48277
3002114,33.6308,-95.59,75460,48277
3002115,33.6308,-95.59,75460,48277
3002116,33.6308,-95.59,75460,48277
3002117,33.6308,-95.59,75460,48277
3002118,33.6308,-95.59,75460,48277
3002119,33.6308,-95.59,75460,48277
3002120,33.6308,-95.59,75460,48277
3002121,33.8019,-95.152,75412,48387
3002122,33.7787,-95.9968,75488,48147
3002123,35.4428,-101.373,-1,48065
3002124,33.4357,-96.5499,75495,48181
3002125,33.4646,-96.8927,76271,48181
3002126,33.458,-97.1286,76272,48097
3002127,35.6539,-100.539,-1,48211
3002128,35.6539,-100.539,-1,48211
3002129,33.4391,-96.3115,75490,48147
3002130,33.1227,-99.6504,-1,48207
3002131,33.1227,-99.6504,-1,48207
3002132,33.1227,-99.6504,-1,48207
3002133,33.7414,-97.5353,-1,48337
3003001,30.0367,-99.163,78028,48265
3003002,30.0367,-99.163,78028,48265
3003003,32.3606,-100.339,-1,48353
3003004,32.3606,-100.339,-1,48353
3003005,29.6445,-99.6825,-1,48385
3003006,32.857,-100.124,-1,48253
3003007,32.4736,-100.033,79536,48441
3003008,31.7369,-99.5678,-1,48083
3003009,30.4414,-100.561,-1,48435
3003010,29.6747,-100.079,78880,48137
3003011,30.6537,-98.9183,-1,48299
3003012,30.4371,-98.7087,78675,48171
3003013,32.3357,-99.6675,-1,48441
3003014,30.6728,-98.4427,78639,48299
3003015,32.4152,-100.574,-1,48353
3003016,32.1981,-100.269,-1,48353
3003017,32.1981,-100.269,-1,48353
3003018,31.0854,-100.679,-1,48413
3003019,31.0854,-100.679,-1,48413
3003020,31.0854,-100.679,-1,48413
3003021,32.8686,-99.6945,79503,48253
3003022,32.3145,-100.918,-1,48335
3003023,32.9409,-99.851,79553,48253
3003024,30.8835,-100.595,76936,48413
3003025,31.1571,-98.764,76877,48411
3003026,32.6256,-99.4928,-1,48417
3003027,32.6256,-99.4928,-1,48417
3003028,32.6256,-99.4928,-1,48417
3003029,31.2572,-98.3767,-1,48281
3003030,31.5097,-100.322,-1,48451
3003031,32.2741,-99.826,79508,48441
3003032,32.3336,-99.9277,-1,48441
3003033,32.7204,-100.995,-1,48415
3003034,32.7204,-100.995,-1,48415
3003035,30.9398,-99.0799,-1,48411
3003036,31.5179,-99.1355,76827,48049
3003037,32.4694,-100.666,79532,48335
3003038,32.4694,-100.666,79532,48335
3003039,32.4694,-100.666,79532,48335
3003040,31.7386,-99.9342,76821,48399
3003041,32.05,-100.692,-1,48081
3003042,32.05,-100.692,-1,48081
3003043,32.05,-100.692,-1,48081
3003044,32.05,-100.692,-1,48081
3003045,32.05,-100.692,-1,48081
3003046,32.3122,-100.53,-1,48353
3003047,32.3122,-100.53,-1,48353
3003048,32.3122,-100.53,-1,48353
3003049,32.7479,-99.9054,79501,48253
3003050,29.8372,-101.212,-1,48465
3003051,29.8372,-101.212,-1,48465
3003052,30.0951,-99.6282,-1,48265
3003053,32.214,-100.057,79562,48441
3003054,32.214,-100.057,79562,48441
