fips,county_name,population
1001,Autauga County,56145.0
1003,Baldwin County,229287.0
1005,Barbour County,24589.0
1007,Bibb County,22136.0
1009,Blount County,57879.0
1011,Bullock County,9976.0
1013,Butler County,19504.0
1015,Calhoun County,113469.0
1017,Chambers County,32865.0
1019,Cherokee County,26294.0
1021,Chilton County,44397.0
1023,Choctaw County,12418.0
1025,Clarke County,23291.0
1027,Clay County,13112.0
1029,Cleburne County,14967.0
1031,Coffee County,53230.0
1033,Colbert County,55411.0
1035,Conecuh County,11851.0
1037,Coosa County,10650.0
1039,Covington County,36930.0
1041,Crenshaw County,13681.0
1043,Cullman County,84515.0
1045,Dale County,48959.0
1047,Dallas County,36098.0
1049,DeKalb County,71658.0
1051,Elmore County,82158.0
1053,Escambia County,36281.0
1055,Etowah County,102371.0
1057,Fayette County,16241.0
1059,Franklin County,31507.0
1061,Geneva County,26411.0
1063,Greene County,7990.0
1065,Hale County,14670.0
1067,Henry County,17223.0
1069,Houston County,106580.0
1071,Jackson County,51582.0
1073,Jefferson County,655342.0
1075,Lamar County,13764.0
1077,Lauderdale County,93368.0
1079,Lawrence County,32857.0
1081,Lee County,166831.0
1083,Limestone County,102228.0
1085,Lowndes County,9641.0
1087,Macon County,17895.0
1089,Madison County,379453.0
1091,Marengo County,18733.0
1093,Marion County,29703.0
1095,Marshall County,96990.0
1097,Mobile County,412716.0
1099,Monroe County,20459.0
1101,Montgomery County,224639.0
1103,Morgan County,119883.0
1105,Perry County,8687.0
1107,Pickens County,19793.0
1109,Pike County,32966.0
1111,Randolph County,22920.0
1113,Russell County,58237.0
1115,St. Clair County,90739.0
1117,Shelby County,221428.0
1119,Sumter County,12225.0
1121,Talladega County,79985.0
1123,Tallapoosa County,40133.0
1125,Tuscaloosa County,210758.0
1127,Walker County,63143.0
1129,Washington County,15976.0
1131,Wilcox County,10206.0
1133,Winston County,23508.0
2013,Aleutians East Borough,3401.0
2016,Aleutians West Census Area,5680.0
2020,Anchorage Municipality,287095.0
2050,Bethel Census Area,18437.0
2060,Bristol Bay Borough,788.0
2068,Denali Borough,2081.0
2070,Dillingham Census Area,4833.0
2090,Fairbanks North Star Borough,95651.0
2100,Haines Borough,2614.0
2105,Hoonah-Angoon Census Area,2141.0
2110,Juneau City and Borough,31849.0
2122,Kenai Peninsula Borough,59414.0
2130,Ketchikan Gateway Borough,13747.0
2150,Kodiak Island Borough,12992.0
2158,Kusilvak Census Area,8328.0
