fips,res,bus,oth,tot
1001,51569.0,3681.0,893.0,56145.0
1003,209162.0,16593.0,3531.0,229287.0
1005,21536.0,2509.0,543.0,24588.0
1007,20587.0,1237.0,310.0,22135.0
1009,54296.0,2710.0,872.0,57879.0
1011,9146.0,753.0,76.0,9975.0
1013,17332.0,1636.0,534.0,19504.0
1015,101088.0,10270.0,2109.0,113469.0
1017,30096.0,2205.0,563.0,32864.0
1019,24487.0,1500.0,305.0,26294.0
1021,41626.0,2462.0,307.0,44396.0
1023,11607.0,760.0,50.0,12417.0
1025,20994.0,1866.0,429.0,23290.0
1027,12364.0,439.0,307.0,13112.0
1029,13838.0,944.0,183.0,14966.0
1031,48288.0,3765.0,1176.0,53230.0
1033,48502.0,5120.0,1788.0,55410.0
1035,10836.0,903.0,111.0,11850.0
1037,10253.0,362.0,34.0,10650.0
1039,32866.0,3624.0,438.0,36929.0
1041,12545.0,931.0,204.0,13681.0
1043,76758.0,6405.0,1351.0,84514.0
1045,44828.0,3201.0,929.0,48959.0
1047,31097.0,2809.0,2190.0,36097.0
1049,65813.0,4677.0,1166.0,71657.0
1051,75590.0,5701.0,866.0,82157.0
1053,32562.0,3017.0,701.0,36280.0
1055,92094.0,8578.0,1698.0,102371.0
1057,14829.0,1149.0,262.0,16241.0
1059,28861.0,2066.0,578.0,31506.0
1061,24501.0,1741.0,167.0,26410.0
1063,7495.0,453.0,40.0,7990.0
1065,13351.0,720.0,597.0,14669.0
1067,15767.0,1187.0,267.0,17222.0
1069,91844.0,11360.0,3375.0,106580.0
1071,47652.0,3290.0,639.0,51581.0
1073,570278.0,63570.0,21493.0,655341.0
1075,12813.0,492.0,458.0,13763.0
1077,83786.0,7861.0,1719.0,93367.0
1079,30381.0,1996.0,479.0,32856.0
1081,150983.0,10290.0,5556.0,166831.0
1083,94250.0,6035.0,1941.0,102227.0
1085,9178.0,333.0,129.0,9641.0
1087,16359.0,962.0,572.0,17895.0
1089,334523.0,32873.0,12055.0,379453.0
1091,16715.0,1688.0,329.0,18732.0
1093,27202.0,1613.0,887.0,29702.0
1095,87430.0,8285.0,1274.0,96989.0
1097,367106.0,36090.0,9518.0,412716.0
1099,18760.0,1416.0,282.0,20459.0
1101,191566.0,24455.0,8617.0,224638.0
1103,106226.0,10525.0,3130.0,119882.0
1105,7962.0,556.0,168.0,8686.0
1107,18654.0,1009.0,129.0,19793.0
1109,29521.0,2629.0,815.0,32966.0
1111,21177.0,1372.0,369.0,22920.0
1113,53154.0,3690.0,1392.0,58236.0
1115,84913.0,5113.0,711.0,90739.0
1117,199911.0,18060.0,3455.0,221427.0
1119,11614.0,507.0,102.0,12225.0
1121,73818.0,5163.0,1002.0,79985.0
1123,35567.0,2680.0,1884.0,40133.0
1125,190667.0,14944.0,5146.0,210757.0
1127,56436.0,4525.0,2181.0,63143.0
1129,15444.0,460.0,70.0,15975.0
1131,9512.0,529.0,164.0,10206.0
1133,21824.0,1205.0,477.0,23507.0
2013,0.0,850.0,2550.0,3400.0
2016,709.0,0.0,4969.0,5679.0
2020,239498.0,26463.0,21132.0,287095.0
2050,2048.0,0.0,16388.0,18437.0
2060,0.0,0.0,787.0,787.0
2068,1993.0,0.0,87.0,2080.0
2070,1208.0,0.0,3624.0,4832.0
2090,81661.0,8183.0,5806.0,95650.0
2100,871.0,871.0,871.0,2614.0
2105,892.0,0.0,1248.0,2140.0
2110,26270.0,3617.0,1960.0,31849.0
2122,51373.0,5581.0,2458.0,59413.0
2130,6603.0,6603.0,539.0,13747.0
2150,10816.0,1241.0,933.0,12992.0
2158,0.0,0.0,0.0,0.0
2164,0.0,114.0,1378.0,1493.0
2170,98328.0,7708.0,4176.0,110212.0
2180,0.0,1043.0,8865.0,9909.0
2185,1689.0,0.0,7604.0,9294.0
2188,3822.0,0.0,3821.0,7643.0
2195,2059.0,0.0,1236.0,3296.0
2198,614.0,614.0,4917.0,6147.0
2220,2801.0,2801.0,2801.0,8405.0
2230,0.0,0.0,1179.0,1179.0
2240,6520.0,348.0,87.0,6957.0
2261,0.0,0.0,0.0,0.0
2270,0.0,0.0,0.0,0.0
2275,0.0,0.0,2509.0,2509.0
2282,318.0,0.0,318.0,636.0
2290,4016.0,64.0,996.0,5076.0
4001,67863.0,2201.0,1810.0,71874.0
4003,114369.0,7513.0,5567.0,127450.0
4005,125040.0,11498.0,5942.0,142480.0
4007,49511.0,2857.0,1934.0,54302.0
4009,36044.0,2318.0,848.0,39211.0
4011,9108.0,170.0,61.0,9341.0
4012,19904.0,1216.0,359.0,21479.0
4013,4046161.0,362751.0,170167.0,4579080.0
4015,194843.0,13541.0,8821.0,217206.0
4017,100638.0,7801.0,3671.0,112112.0
4019,950950.0,68398.0,41826.0,1061174.0
4021,452331.0,18608.0,9887.0,480827.0
4023,38762.0,4499.0,3546.0,46808.0
4025,211939.0,16599.0,11686.0,240226.0
4027,200591.0,11458.0,5774.0,217824.0
5001,15334.0,1817.0,230.0,17382.0
