hr,base,red,pct
0,2.171019108,2.042038217,0.940589702
1,1.915923567,1.815605096,0.947639628
2,1.741082803,1.635031847,0.93908908
3,1.592038217,1.454458599,0.913582717
4,1.471656051,1.382802548,0.939623458
5,1.334076433,1.368471338,1.02578181
6,1.325477707,1.37133758,1.034598751
7,1.397133758,1.319745223,0.944609072
8,1.4,1.41433121,1.010236579
9,1.491719745,1.494585987,1.001921435
10,1.623566879,1.755414013,1.081208317
11,1.769745223,1.961783439,1.108511787
12,2.105095541,2.27133758,1.078971256
13,2.231210191,2.471974522,1.107907508
14,2.420382166,2.520700637,1.041447368
15,2.649681529,2.555095541,0.964302885
16,2.758598726,2.781528662,1.008312168
17,2.858917197,2.964968153,1.037094798
18,3.2,3.005095541,0.939092357
19,3.068152866,2.89044586,0.942080133
20,2.970700637,2.718471338,0.91509434
21,3.188535032,2.643949045,0.829204954
22,2.807324841,2.394585987,0.852977879
23,2.606687898,2.239808917,0.859254734
