zip,res,bus,oth,tot
501,0.0,2.098255104,0.0,2.098255104
601,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0
603,0.0,0.0,0.0,0.0
604,0.0,0.0,0.0,0.0
605,0.0,0.0,0.0,0.0
606,0.0,0.0,0.0,0.0
610,0.0,0.0,0.0,0.0
611,0.0,0.0,0.0,0.0
612,0.0,0.0,0.0,0.0
613,0.0,0.0,0.0,0.0
614,0.0,0.0,0.0,0.0
616,0.0,0.0,0.0,0.0
617,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0
623,0.0,0.0,0.0,0.0
624,0.0,0.0,0.0,0.0
627,0.0,0.0,0.0,0.0
631,0.0,0.0,0.0,0.0
637,0.0,0.0,0.0,0.0
638,0.0,0.0,0.0,0.0
641,0.0,0.0,0.0,0.0
646,0.0,0.0,0.0,0.0
647,0.0,0.0,0.0,0.0
650,0.0,0.0,0.0,0.0
652,0.0,0.0,0.0,0.0
653,0.0,0.0,0.0,0.0
656,0.0,0.0,0.0,0.0
659,0.0,0.0,0.0,0.0
660,0.0,0.0,0.0,0.0
662,0.0,0.0,0.0,0.0
664,0.0,0.0,0.0,0.0
667,0.0,0.0,0.0,0.0
669,0.0,0.0,0.0,0.0
670,0.0,0.0,0.0,0.0
674,0.0,0.0,0.0,0.0
676,0.0,0.0,0.0,0.0
677,0.0,0.0,0.0,0.0
678,0.0,0.0,0.0,0.0
680,0.0,0.0,0.0,0.0
681,0.0,0.0,0.0,0.0
682,0.0,0.0,0.0,0.0
683,0.0,0.0,0.0,0.0
685,0.0,0.0,0.0,0.0
687,0.0,0.0,0.0,0.0
688,0.0,0.0,0.0,0.0
690,0.0,0.0,0.0,0.0
692,0.0,0.0,0.0,0.0
693,0.0,0.0,0.0,0.0
694,0.0,0.0,0.0,0.0
698,0.0,0.0,0.0,0.0
703,0.0,0.0,0.0,0.0
704,0.0,0.0,0.0,0.0
705,0.0,0.0,0.0,0.0
707,0.0,0.0,0.0,0.0
714,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0
716,0.0,0.0,0.0,0.0
717,0.0,0.0,0.0,0.0
718,0.0,0.0,0.0,0.0
719,0.0,0.0,0.0,0.0
720,0.0,0.0,0.0,0.0
721,0.0,0.0,0.0,0.0
723,0.0,0.0,0.0,0.0
725,0.0,0.0,0.0,0.0
726,0.0,0.0,0.0,0.0
727,0.0,0.0,0.0,0.0
728,0.0,0.0,0.0,0.0
729,0.0,0.0,0.0,0.0
730,0.0,0.0,0.0,0.0
731,0.0,0.0,0.0,0.0
732,0.0,0.0,0.0,0.0
733,0.0,0.0,0.0,0.0
735,0.0,0.0,0.0,0.0
736,0.0,0.0,0.0,0.0
737,0.0,0.0,0.0,0.0
738,0.0,0.0,0.0,0.0
739,0.0,0.0,0.0,0.0
740,0.0,0.0,0.0,0.0
741,0.0,0.0,0.0,0.0
742,0.0,0.0,0.0,0.0
744,0.0,0.0,0.0,0.0
745,0.0,0.0,0.0,0.0
751,0.0,0.0,0.0,0.0
754,0.0,0.0,0.0,0.0
757,0.0,0.0,0.0,0.0
765,0.0,0.0,0.0,0.0
766,0.0,0.0,0.0,0.0
767,0.0,0.0,0.0,0.0
769,0.0,0.0,0.0,0.0
771,0.0,0.0,0.0,0.0
772,0.0,0.0,0.0,0.0
773,0.0,0.0,0.0,0.0
775,0.0,0.0,0.0,0.0
777,0.0,0.0,0.0,0.0
778,0.0,0.0,0.0,0.0
780,0.0,0.0,0.0,0.0
782,0.0,0.0,0.0,0.0
783,0.0,0.0,0.0,0.0
784,0.0,0.0,0.0,0.0
785,0.0,0.0,0.0,0.0
786,0.0,0.0,0.0,0.0
791,0.0,0.0,0.0,0.0
792,0.0,0.0,0.0,0.0
794,0.0,0.0,0.0,0.0
795,0.0,0.0,0.0,0.0
802,0.0,0.0,0.0,0.0
820,0.0,0.0,0.0,0.0
830,0.0,0.0,0.0,0.0
840,0.0,0.0,0.0,0.0
850,0.0,0.0,0.0,0.0
901,0.0,0.0,0.0,0.0
902,0.0,0.0,0.0,0.0
907,0.0,0.0,0.0,0.0
908,0.0,0.0,0.0,0.0
909,0.0,0.0,0.0,0.0
910,0.0,0.0,0.0,0.0
911,0.0,0.0,0.0,0.0
912,0.0,0.0,0.0,0.0
913,0.0,0.0,0.0,0.0
914,0.0,0.0,0.0,0.0
915,0.0,0.0,0.0,0.0
916,0.0,0.0,0.0,0.0
917,0.0,0.0,0.0,0.0
918,0.0,0.0,0.0,0.0
919,0.0,0.0,0.0,0.0
920,0.0,0.0,0.0,0.0
921,0.0,0.0,0.0,0.0
922,0.0,0.0,0.0,0.0
923,0.0,0.0,0.0,0.0
924,0.0,0.0,0.0,0.0
925,0.0,0.0,0.0,0.0
926,0.0,0.0,0.0,0.0
927,0.0,0.0,0.0,0.0
928,0.0,0.0,0.0,0.0
929,0.0,0.0,0.0,0.0
931,0.0,0.0,0.0,0.0
934,0.0,0.0,0.0,0.0
935,0.0,0.0,0.0,0.0
936,0.0,0.0,0.0,0.0
937,0.0,0.0,0.0,0.0
940,0.0,0.0,0.0,0.0
949,0.0,0.0,0.0,0.0
950,0.0,0.0,0.0,0.0
951,0.0,0.0,0.0,0.0
952,0.0,0.0,0.0,0.0
953,0.0,0.0,0.0,0.0
954,0.0,0.0,0.0,0.0
956,0.0,0.0,0.0,0.0
957,0.0,0.0,0.0,0.0
958,0.0,0.0,0.0,0.0
959,0.0,0.0,0.0,0.0
960,0.0,0.0,0.0,0.0
961,0.0,0.0,0.0,0.0
962,0.0,0.0,0.0,0.0
963,0.0,0.0,0.0,0.0
965,0.0,0.0,0.0,0.0
966,0.0,0.0,0.0,0.0
968,0.0,0.0,0.0,0.0
969,0.0,0.0,0.0,0.0
970,0.0,0.0,0.0,0.0
971,0.0,0.0,0.0,0.0
975,0.0,0.0,0.0,0.0
976,0.0,0.0,0.0,0.0
977,0.0,0.0,0.0,0.0
979,0.0,0.0,0.0,0.0
981,0.0,0.0,0.0,0.0
982,0.0,0.0,0.0,0.0
983,0.0,0.0,0.0,0.0
984,0.0,0.0,0.0,0.0
985,0.0,0.0,0.0,0.0
986,0.0,0.0,0.0,0.0
987,0.0,0.0,0.0,0.0
988,0.0,0.0,0.0,0.0
1001,15609.094256,1667.1084512,493.108908,17769.3116152
1002,21075.510045411,1705.065024763,1409.9897204580002,24190.564790632
1003,289.25549199,276.01071049999996,11.342845800000001,576.6090482899999
1004,3758.4305478,586.0506300000001,7.561905934,4352.043083734
1005,3532.46986398,116.4733101,261.59265473,3910.53582881
1007,12107.152200906,323.27318199999996,349.7381822,12780.163565106002
1008,947.1801432460001,37.42658969200001,128.96681148,1113.573544418
1009,0.0,1.8965837600000002,1031.7349884,1033.6315721600001
1010,3200.083928964,81.55346704,53.10386436,3334.741260364
1011,1010.54302294,77.74810102999999,28.44866724,1116.73979121
1012,202.29031287,1.8904845149999998,11.342845800000001,215.523643185
1013,20187.527848,1342.78934,1896.570152424,23426.887340424
1014,1210.0381742,128.9684264,3.793147356,1342.799747956
1020,26857.897254339998,1663.3123607999999,1733.46513888,30254.674754019998
1021,1980.0610028,316.73058399999996,3.793147356,2300.584734156
1022,2397.3162398,174.48680199999998,191.55348216000002,2763.35652396
1026,1055.682493172,45.371657049999996,44.872090760000006,1145.926240982
1027,18457.546355703,2300.72021421,1162.642856122,21920.909426035003
1028,13881.290787999998,1701.244036,166.89828504000002,15749.43310904
1029,0.0,0.0,575.9477401,575.9477401
1030,10387.716786,711.2243904,231.3820632,11330.323239600002
1031,502.18302456,21.00337407,618.6597597,1141.84615833
1032,164.173282254,9.452422575,126.6622148,300.287919629
1033,6539.4963202,408.34477000000004,73.7289344,7021.5700246
1034,1750.5716289999998,47.41495936,18.965711952,1816.9523003119998
1035,5873.9672502,1329.0109439799999,224.96687839999998,7427.94507258
1036,4787.031014,314.8343656,85.34575344000001,5187.21113304
1037,0.0,1.909386864,490.72502225,492.634409114
1038,3083.5070604000002,353.521049,166.3617384,3603.3898478
1039,1187.7242013,18.90484515,110.16316828000001,1316.79221473
1040,32128.5767512,3859.570165488,3408.1365806400004,39396.283497328
1041,3660.459992,823.1231976,7.586269884000001,4491.169459484
1050,1938.87852324,35.91916275,442.3718596,2417.16954559
1053,1525.68063,51.043096250000005,124.7713038,1701.49503005
1054,1399.1311962,22.59483618,31.27890656,1453.0049389399999
1056,16860.880098,1033.6436296,551.901612,18446.425339600002
1057,6816.437124,352.7660408,244.65759479999997,7413.8607596
1059,0.0,1.8904845149999998,0.0,1.8904845149999998
1060,14937.321860028,3109.84778746,2019.028569954,20066.198217442
1061,2835.8433099,482.07376650000003,1.8904743,3319.8075507
1062,10139.078271717,966.037816685,383.76671960000004,11488.882808002001
1063,0.0,179.596531,1.8904743,181.4870053
1066,0.0,1.8904845149999998,319.49059339999997,321.381077915
1068,1426.35160794,51.553741743,15.275491168,1493.1808408509999
1069,7392.927652815,845.8814719999999,398.2808448,8637.089969614999
1070,554.566363643,3.7809690299999996,1.8904743,560.2378069730001
1071,635.3625434,15.172743152,559.4890488,1210.024335352
1072,1065.4242282,3.476126655,43.442823600000004,1112.343178455
1073,4976.113805460001,200.391043,117.20940660000001,5293.71425506
1074,0.0,1.909386864,446.80851122999997,448.71789809399996
1075,15461.007240843,1122.948074465,932.0047644379999,17515.960079746
1077,7759.051068000001,424.8369544,92.93194884,8276.81997124
1079,0.0,1.8965837600000002,669.4895028,671.38608656
1080,2063.5120502,121.38209136,36.03486264,2220.9290042000002
1081,1714.5371390000003,47.41495936,13.276003332,1775.2281016920003
